hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
PARKROYAL Parramatta,US$433,"8,1",Muy bien,3.631,https://cf.bstatic.com/xdata/images/hotel/max1024x768/81357338.webp?k=b1dd194a6d08f47afdf5891a0a82c89307a47dc9fd4f9ac361de076d14400b1d&o=,https://www.booking.com/hotel/au/parkroyal-parramatta.es.html?aid=2410095,"Guardaequipaje, Seguridad 24 horas, Tetera/cafetera en todas las habitaciones, Habitaciones insonorizadas, Apoyo visual: carteles táctiles, Prohibido fumar en todo el alojamiento, Tumbonas/sillas de playa, Menú para niños, Servicio de conserjería, Desayuno en la habitación, Fax / fotocopiadora, Servicio de habitaciones, Calefacción, Taquillas, Bar, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Servicio de lavandería, Llave de acceso, Apoyo visual: braille, Aire acondicionado, Abierta todo el año, Toallas de playa/piscina, Cafetería en el alojamiento, Máquina expendedora (aperitivos), Ascensor, Restaurante, Terraza, Habitaciones hipoalergénicas, Adaptado personas de movilidad reducida, Terraza / solárium, Muy buen desayuno, Centro de negocios, Servicio de limpieza en seco, Tarjeta de acceso, Valla alrededor de la piscina, Habitaciones sin humo, Parking en la calle, Vino / champán, Menús para dietas especiales (bajo petición), Salas de reuniones / banquetes, Buffet para niños, Inglés, Adaptado para sillas de ruedas, WiFi gratis, Servicio de limpieza diario, WC con barras de apoyo, Parking adaptado para personas de movilidad reducida, Parking privado, Máquina expendedora (bebidas), Happy hour, Registro de entrada y salida exprés, Detectores de humo, Extintores, Piscina al aire libre, Tetera / cafetera, Caja fuerte, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Alarma de seguridad, Gimnasio, Proporciona factura, Mobiliario exterior, Recepción 24 horas, Fruta",Ryde,Australia,"PARKROYAL Parramatta is located in the popular Church Street dining and shopping precinct in Parramatta, Western Sydney. It features free WiFi throughout and a fitness centre.

All air-conditioned rooms at the PARKROYAL Parramatta offer city views. Each features cable TV, tea and coffee making facilities and a flat screen TV.

Other amenities include a business centre, concierge service and laundry facilities and a swimming pool.

TABLE:30 Restaurant offers views of the lobby atrium, and serves an extensive menu for breakfast and dinner. BAR: 30 is the perfect place to relax with a cocktail.

Riverside Theatre is a 5-minute walk away and Parramatta Train Station is a 10-minute walk. Rosehill Gardens Racecourse is a 5-minute drive away. Sydney Olympic Park, Raging Waters Sydney and the ANZ Stadium are a 15-minute drive."
Rosehill Hotel,US$92,"5,9",Puntuación,471,https://cf.bstatic.com/xdata/images/hotel/max1024x768/126835012.webp?k=2e9eae0b4828dd2adeb169b98901ce427fc1147094ca35373ad7eed83aa27dc2&o=,https://www.booking.com/hotel/au/rosehill-granville.es.html?aid=2410095,"Billar, Guardaequipaje, Toallas, Menú para niños, Cajero automático en el hotel, Cámaras de seguridad fuera del alojamiento, Bar, Zona de fumadores, Ropa de cama, Aire acondicionado, Máquina expendedora (aperitivos), TV de pantalla plana, Eventos deportivos en directo (emisión), Barbacoa, Parking gratis, Tarjeta de acceso, Habitaciones sin humo, Casino, Vino / champán, Inglés, Entretenimiento nocturno, WiFi gratis, Servicio de limpieza diario, Happy hour, Registro de entrada y salida exprés, Detectores de humo, Acceso a pisos superiores solo mediante escaleras, Papel higiénico, Baño compartido, Armario, Extintores, Cámaras de seguridad en las zonas comunitarias, Jardín, Habitaciones familiares, Suelo de moqueta, Mobiliario exterior, Parking adaptado para personas de movilidad reducida",Ryde,Australia,"Rosehill Hotel se encuentra en Sídney, a 3,9 km de Western Sydney Stadium, y ofrece alojamiento con jardín, parking privado gratis, bar y casino. El hotel tiene wifi gratis y está a unos 6,2 km de Estadio ANZ y a 6,5 km de Qudos Bank Arena. El alojamiento dispone de ocio nocturno y cajero automático.

En el hotel, todas las habitaciones están equipadas con armario, TV de pantalla plana, baño compartido, ropa de cama y toallas.

Rosehill Hotel ofrece barbacoa.

Estadio Sydney Showground está a 6,8 km del alojamiento, y Bicentennial Park está a 8 km. El aeropuerto más cercano (Aeropuerto Kingsford Smith de Sídney) está a 23 km del alojamiento."
Greenwich Inn Motel,US$121,"6,5",Puntuación,577,https://cf.bstatic.com/xdata/images/hotel/max1024x768/294660332.webp?k=59925603b3c4619e020bdedd9d66482446ec17329ca5260ec73e8c7676270e7d&o=,https://www.booking.com/hotel/au/greenwich-inn-motel.es.html?aid=2410095,"Guardaequipaje, Desayuno, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Fax / fotocopiadora, Calefacción, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Servicio de lavandería, Llave de acceso, Aire acondicionado, Parking gratis, Habitaciones sin humo, Inglés, WiFi gratis, Servicio de limpieza diario, Máquina expendedora (bebidas), Detectores de humo, Extintores, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Proporciona factura, Parking adaptado para personas de movilidad reducida",Ryde,Australia,"El Greenwich Inn se encuentra a 10 minutos en coche del distrito financiero central de Sídney y ofrece habitaciones con aire acondicionado, TV por cable y conexión Wi-Fi. Ofrece aparcamiento cubierto.

El Motel Greenwich Inn está situado en el centro de la costa baja norte de Sídney, a 10 minutos a pie de la estación de tren de St. Leonards. El aeropuerto internacional de Sídney está a 25 minutos en coche.

Las habitaciones están bien equipadas y cuentan con zona de trabajo, nevera y set de té y café. El baño privado incluye secador de pelo y ducha.

Los huéspedes pueden acceder a internet en la cafetería, que ofrece aperitivos ligeros todos los días. También hay una lavandería automática de autoservicio y utensilios de planchado. La cafetería solo sirve desayunos. Recién reformado."
Royal Hotel Ryde,US$200,"7,1",Bien,408,https://cf.bstatic.com/xdata/images/hotel/max1024x768/116963064.webp?k=92513fe08a47d40896c2c20618aab3eadfc78a36d39d58715e4988d369c02fc2&o=,https://www.booking.com/hotel/au/royal-ryde.es.html?aid=2410095,"Billar, Guardaequipaje, Toallas, Cajero automático en el hotel, Cámaras de seguridad fuera del alojamiento, Bar, Zona de fumadores, Ropa de cama, Llave de acceso, Aire acondicionado, Restaurante, TV de pantalla plana, Eventos deportivos en directo (emisión), Habitaciones sin humo, Casino, Vino / champán, Inglés, Entretenimiento nocturno, WiFi gratis, Servicio de limpieza diario, Happy hour, Registro de entrada y salida exprés, Detectores de humo, Baño compartido, Hervidor eléctrico, Extintores, TV, Cámaras de seguridad en las zonas comunitarias, Dardos, Alarma de seguridad, Proporciona factura",Ryde,Australia,"El Royal Hotel Ryde se encuentra en Ryde, a 5 km del parque nacional Lane Cove River. Hay bar. El parque olímpico Homebush se encuentra a 10 minutos en autobús del hotel.

Todas las habitaciones de este hotel tienen aire acondicionado, TV y baño compartido. El Royal Hotel Ryde ofrece WiFi gratuita en todas las instalaciones.

El centro comercial superior Top Ryde City y los cines Event se encuentran al otro lado de la calle, a solo 100 metros del hotel. El Royal Hotel Ryde se encuentra a 3,6 km de Microsoft Sydney y a 5 km de la Universidad de Macquarie. El aeropuerto de Kingsford Smith está a 15 km."
"Holiday Inn Express Sydney Macquarie Park, an IHG Hotel",US$279,"8,3",Muy bien,1.600,https://cf.bstatic.com/xdata/images/hotel/max1024x768/268506215.webp?k=657c524a9e76f629a1d805c9e3c9c41f9dffc2957a0764abf5602a78f7d0ab32&o=,https://www.booking.com/hotel/au/holiday-inn-express-sydney-macquarie-park.es.html?aid=2410095,"Seguridad 24 horas, Toallas, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Zona de fumadores, Servicio de lavandería, Chino, Ascensor, Restaurante, Centro de negocios, Servicio de limpieza en seco, Caja fuerte para ordenador portátil, Habitaciones sin humo, Parking en la calle, Menús para dietas especiales (bajo petición), Italiano, Servicio de limpieza diario, Utensilios de planchado, Parking en el alojamiento, Acceso a pisos superiores en ascensor, Hervidor eléctrico, WC, TV, Buen desayuno, Secador de pelo, Alarma de seguridad, Servicio de despertador, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Menú para niños, Servicio de entrega de comestibles, Cámaras de seguridad fuera del alojamiento, Bar, Servicio de despertador / alarma, Aire acondicionado, Canales vía satélite, Escritorio, Insonorización, Nevera, Extintores, Campo de golf (a menos de 3 km), Teléfono, Caja fuerte, Mobiliario exterior, Recepción 24 horas, Guardaequipaje, Bañera o ducha, Artículos de aseo gratis, Calefacción, Ropa de cama, Cafetería en el alojamiento, TV de pantalla plana, Tarjeta de acceso, Vino / champán, Salas de reuniones / banquetes, WiFi gratis, Detectores de humo, Armario, Tetera / cafetera, Vietnamita, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Servicio de traslado, Parking adaptado para personas de movilidad reducida, Tetera/cafetera en todas las habitaciones, Plancha para ropa, Enchufe cerca de la cama, Ducha, Reloj despertador, Llave de acceso, Adaptado personas de movilidad reducida, Inglés, Registro de entrada y salida exprés, Filipino, Gimnasio, Habitaciones insonorizadas, Zona de estar",Ryde,Australia,"El Holiday Inn Express Sydney Macquarie Park ofrece habitaciones elegantes con WiFi gratuita. El Holiday Inn sirve un desayuno exprés gratuito todas las mañanas y se encuentra a solo 8 minutos a pie de la Universidad Macquarie y el transporte público.

El Holiday Inn Express está situado en el centro de negocios de Macquarie Park, a 9 minutos a pie del centro comercial Macquarie Centre, que alberga una gran variedad de sitios para comer y tiendas de moda. El centro de la ciudad de Sídney está a 20 minutos en coche o a 35 minutos en tren.

Todas las habitaciones están equipadas con un espacio de trabajo práctico y moderno que incluye escritorio, silla ergonómica y 4 puertos USB. También disponen de TV LCD de 40 pulgadas, set de té y café, caja fuerte y utensilios de planchado. En todas las habitaciones hay baño privado con ducha amplia a ras de suelo y secador de pelo de alta calidad."
Courtyard by Marriott Sydney-North Ryde,US$301,"8,1",Muy bien,1.460,https://cf.bstatic.com/xdata/images/hotel/max1024x768/430847851.webp?k=1594edc688fd16acc7a560a55658510e5c16f989ec0a09b293d0d4a211e048b3&o=,https://www.booking.com/hotel/au/courtyard-by-marriott-at-north-ryde.es.html?aid=2410095,"Toallas, Secadora de ropa, Canales de pago, Servicio de despertador, Alquiler de coches, Prohibido fumar en todo el alojamiento, Senderismo, Plancha para ropa, Baño privado, Servicio de habitaciones, Bañera o ducha, Artículos de aseo gratis, Perchero, Fax / fotocopiadora, Bar, Calefacción, Ropa de cama, Enchufe cerca de la cama, Ducha, Servicio de despertador / alarma, Reloj despertador, Hindi, Cantonés, Chino, Aire acondicionado, Cafetería en el alojamiento, Ascensor, Restaurante, TV de pantalla plana, Terraza, Mandarín, Adaptado personas de movilidad reducida, Radio, Centro de negocios, Servicio de limpieza en seco, Caja fuerte para ordenador portátil, Ciclismo, Habitaciones sin humo, Canales vía satélite, Salas de reuniones / banquetes, Inglés, Francés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Parking adaptado para personas de movilidad reducida, Parking en el alojamiento, Zona TV / salón de uso compartido, Registro de entrada y salida exprés, Escritorio, Insonorización, Servicio de traslado, Papel higiénico, Armario, WC, Hervidor eléctrico, TV, Buen desayuno, Secador de pelo, Caja fuerte, Submarinismo, Campo de golf (a menos de 3 km), Sofá, Teléfono, Vietnamita, Habitaciones familiares, Gimnasio, Suelo de moqueta, Recepción 24 horas, Zona de estar",Ryde,Australia,"Courtyard By Marriott. Sídney. El North Ryde ofrece habitaciones amplias con vistas al parque nacional Lane Cove y al parque Macquarie. Los huéspedes tienen acceso a instalaciones de negocios y a un centro de fitness totalmente equipado.

El hotel se encuentra a 17 km del centro de Sídney y a 1,5 km de la Universidad de Macquarie y del centro comercial Macquarie. El parque olímpico de Sídney está a 12 km.

Las habitaciones cuentan con lo último en tecnología, como TV por cable y conexión a internet de alta velocidad. Algunas habitaciones tienen balcón y hay suites de 2 niveles disponibles.

El Courtyard by Marriott North Ryde ofrece un servicio de traslado dentro del parque empresarial Macquarie."
Quest Macquarie Park,US$328,"8,1",Muy bien,1.847,https://cf.bstatic.com/xdata/images/hotel/max1024x768/87566069.webp?k=22c0cd432421cfbca81a940add510686636a42c412fa9d6e15578f8362f39a0d&o=,https://www.booking.com/hotel/au/quest-macquaurie-park.es.html?aid=2410095,"Seguridad 24 horas, Toallas, Apoyo visual: carteles táctiles, Lavamanos más bajo, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Servicio de lavandería, Chino, Ascensor, Servicio de limpieza en seco, Fogones, Habitaciones sin humo, Parking en la calle, Menús para dietas especiales (bajo petición), Utensilios de planchado, Servicio de limpieza diario, Información turística, Tailandés, Máquina expendedora (bebidas), Papel higiénico, Hervidor eléctrico, WC, Guiado auditivo, TV, Secador de pelo, Sofá, Alarma de seguridad, Servicio de despertador, Prohibido fumar en todo el alojamiento, Servicio de entrega de comestibles, Cámaras de seguridad fuera del alojamiento, Mesa de comedor, Servicio de despertador / alarma, Soporte para iPod, Tostadora, Aire acondicionado, Máquina expendedora (aperitivos), Microondas, Apartamento privado en edificio, Parking privado, Escritorio, Insonorización, Nevera, Extintores, Campo de golf (a menos de 3 km), Teléfono, Caja fuerte, Mobiliario exterior, Guardaequipaje, Perchero, Artículos de aseo gratis, Calefacción, Ropa de cama, TV de pantalla plana, Utensilios de cocina, Barbacoa, Tarjeta de acceso, Salas de reuniones / banquetes, Adaptado para sillas de ruedas, WiFi gratis, WC con barras de apoyo, Suelo de baldosa / mármol, Detectores de humo, Armario, Tetera / cafetera, Vietnamita, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Servicio de planchado, Parking adaptado para personas de movilidad reducida, WC elevado, Plancha para ropa, Cocina, Enchufe cerca de la cama, Ducha, Reloj despertador, Productos de limpieza, Llave de acceso, Apoyo visual: braille, Adaptado personas de movilidad reducida, Radio, Vistas a un patio interior, Inglés, Registro de entrada y salida exprés, Filipino, Jardín, Gimnasio, Suelo de moqueta, Zona de estar",Ryde,Australia,"El Quest Macquarie Park ofrece conexión WiFi gratuita y se encuentra a solo 500 metros de la estación de tren de Macquarie Park, que conecta con el centro de Sídney. El establecimiento alberga un centro de fitness.

El Quest Macquarie Park se halla a 20 minutos a pie del centro comercial Macquarie Centre, que alberga una gran variedad de tiendas, cafeterías, restaurantes, una pista de patinaje sobre hielo y un cine. La Universidad Macquarie se encuentra a 5 minutos en coche y el aeropuerto de Sídney, a 30 minutos en coche.

El establecimiento ofrece estudios independientes y apartamentos de 1 y 2 dormitorios. Todas disponen de aire acondicionado, salón, escritorio, mesa de comedor y TV de pantalla plana vía satélite con reproductor de DVD. El apartamento estudio tiene una zona de cocina con fogones y lavavajillas. Los apartamentos de 1 y 2 dormitorios disponen de lavadora y cocina totalmente equipada con horno.

El establecimiento también cuenta con zona de barbacoa. Se ofrece servicio de entrega de comestibles."
Mercure Sydney Macquarie Park,US$383,"8,0",Muy bien,1.194,https://cf.bstatic.com/xdata/images/hotel/max1024x768/501688864.webp?k=bfed411f5d1d437b72f97e85606d975a074c9e0655ae316c47d810056f56e171&o=,https://www.booking.com/hotel/au/mercure-macquarie-north-ryde.es.html?aid=2410095,"Guardaequipaje, Snack-bar, Desayuno, Toallas, Servicio de despertador, Prohibido fumar en todo el alojamiento, Servicio de conserjería, Plancha para ropa, Baño privado, Servicio de habitaciones, Bañera o ducha, Artículos de aseo gratis, Calefacción, Zona de cocina, Bar, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Servicio de lavandería, Reloj despertador, Servicio de despertador / alarma, Aire acondicionado, Ascensor, TV de pantalla plana, Terraza, Adaptado personas de movilidad reducida, Microondas, Zona de comedor, Radio, Utensilios de cocina, Tarjeta de acceso, Toda la unidad accesible en silla de ruedas, Habitaciones sin humo, Vino / champán, Menús para dietas especiales (bajo petición), Inglés, Adaptado para sillas de ruedas, WiFi gratis, Servicio de limpieza diario, WC con barras de apoyo, Parking privado, Registro de entrada y salida exprés, Detectores de humo, Servicio de traslado, Acceso a pisos superiores en ascensor, Papel higiénico, Hervidor eléctrico, WC, Nevera, TV, Extintores, Secador de pelo, Cámaras de seguridad en las zonas comunitarias, Teléfono, Habitaciones familiares, Alarma de seguridad, Caja fuerte, Proporciona factura, Mobiliario exterior, Recepción 24 horas, Zona de estar",Ryde,Australia,"Mercure Sydney Macquarie Park combines modern comforts with calming ambience, perfect for the savvy business traveller. Superbly located just a 20-minute drive to Sydney CBD and only a few minutes from major business parks, Macquarie University and Macquarie Shopping University, we're in the heart of a bustling area.

Situated in the heart of Macquarie Business Park and adjacent to Macquarie University Hospital, Mercure Sydney Macquarie Park is the perfect home base for business travellers. Within an easy reach to Sydney CBD by car or train.

Relax after a busy day's work or sightseeing in your spacious, modern room at Mercure Sydney Macquarie Park.


Mercure Sydney Macquarie Park is undergoing an exciting refresh to enhance our accommodation rooms and public spaces.
We will continue to provide exceptional service, whilst keeping disturbance to a minimum. Intermittent noise may be experienced between the hours of 10am to 5pm, Monday to Friday.

We look forward to sharing our amazing new product with you, with the completion of the project in mid-November."
Oaks Sydney North Ryde Suites,US$410,"7,8",Bien,1.931,https://cf.bstatic.com/xdata/images/hotel/max1024x768/287157336.webp?k=44baaf8cb1a67da6e564ca2757eda40732634f7221e72c53d379213f115c0658&o=,https://www.booking.com/hotel/au/north-ryde-apartments.es.html?aid=2410095,"Toallas, Bañera de hidromasaje / jacuzzi, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Artículos de aseo gratis, Calefacción, Ropa de cama, Ducha, Reloj despertador, Aire acondicionado, Abierta todo el año, Ascensor, TV de pantalla plana, Alquiler de bicicletas, Microondas, Utensilios de cocina, Tarjeta de acceso, Habitaciones sin humo, Inglés, WiFi gratis, Utensilios de planchado, Para todas las edades, Parking privado, Escritorio, Detectores de humo, Armario, Hervidor eléctrico, Papel higiénico, Nevera, TV, Extintores, Piscina al aire libre, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Teléfono, Gimnasio, Suelo de moqueta, Recepción 24 horas, Parking en un garaje",Ryde,Australia,"Oaks Sydney North Ryde Suites está en Sídney, a 12 km de Bicentennial Park y a 12 km de Luna Park Sídney, y ofrece alojamiento con wifi gratis, aire acondicionado, bicicletas gratis y piscina al aire libre. Hay parking privado en el propio alojamiento.

El apartahotel ofrece TV de pantalla plana y baño privado con artículos de aseo gratuitos, secador de pelo y ducha. Algunas unidades también tienen una cocina equipada con lavavajillas, fogones y tostadora.

Oaks Sydney North Ryde Suites ofrece alojamiento de 4 estrellas con centro de fitness y bañera de hidromasaje.

Estadio Sydney Showground está a 12 km del alojamiento, y Estadio ANZ está a 12 km. El aeropuerto más cercano (Aeropuerto Kingsford Smith de Sídney) está a 27 km."
En-suite Guest Room Ryde/Macquarie Park/Eastwood,US$77,ver...,,ver...,https://cf.bstatic.com/xdata/images/hotel/max1024x768/491167015.webp?k=315975c070dc8f5bdc9bc036bf45769ada7d6dfcff949dad7491475bbbe019a5&o=,https://www.booking.com/hotel/au/en-suite-guest-room-ryde-macquarie-park-eastwood.es.html?aid=2410095,"Toallas, Plancha para ropa, Baño privado, Perchero, Vistas, Calefacción, Cocina, Zona de cocina, Mesa de comedor, Muebles de exterior, Ropa de cama, Ducha, Ventilador, Chino, Productos de limpieza, Tostadora, TV de pantalla plana, Microondas, Zona de comedor, Zapatillas, Tendedero, Utensilios de cocina, Parking gratis, Fogones, Vistas a un patio interior, Italiano, Inglés, WiFi gratis, Balcón, Utensilios de planchado, Lavadora, Escritorio, Papel higiénico, Armario, WC, Vistas al jardín, Hervidor eléctrico, Nevera, TV, Entrada privada, Zona de comedor exterior, Secador de pelo, Tetera / cafetera, Jardín, Horno",Ryde,Australia,"En-suite Guest Room Ryde/Macquarie Park/Eastwood se encuentra en Sídney, a 11 km de Bicentennial Park, y ofrece balcón, jardín y wifi gratis. El alojamiento ofrece vistas al jardín y está a 11 km de Western Sydney Stadium y a 11 km de Estadio Sydney Showground.

La habitación en casa particular cuenta con TV de pantalla plana. La cocina tiene nevera, horno y microondas, y hay ducha, secador de pelo y zapatillas.

Estadio ANZ está a 12 km del alojamiento, y Qudos Bank Arena está a 12 km. El aeropuerto más cercano (Aeropuerto Kingsford Smith de Sídney) está a 30 km."
MGSM Executive Hotel & Conference Centre,US$236,"8,0",Muy bien,1.323,https://cf.bstatic.com/xdata/images/hotel/max1024x768/138837543.webp?k=b733d8c55346f6278509f9b25495a78e6126db8d5d16eb3c8f8cecc1bd9f97b7&o=,https://www.booking.com/hotel/au/mgsm-executive-amp-conference-centre.es.html?aid=2410095,"Billar, Seguridad 24 horas, Toallas, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Toda la unidad en la planta baja, Zona de fumadores, Servicio de lavandería, Chino, Proporciona factura, Restaurante, Centro de negocios, Toda la unidad accesible en silla de ruedas, Instalaciones para deportes acuáticos en el alojamiento, Habitaciones sin humo, Parking en la calle, Menús para dietas especiales (bajo petición), Servicio de limpieza diario, Utensilios de planchado, Máquina expendedora (bebidas), Papel higiénico, Hervidor eléctrico, WC, TV, Buen desayuno, Secador de pelo, Sofá, Alarma de seguridad, Servicio de despertador, Prohibido fumar en todo el alojamiento, Cámaras de seguridad fuera del alojamiento, Servicio de despertador / alarma, Hindi, Aire acondicionado, Máquina expendedora (aperitivos), Canales vía satélite, Escritorio, Nevera, Extintores, Campo de golf (a menos de 3 km), Teléfono, Caja fuerte, Guardaequipaje, Almuerzos para llevar, Canales por cable, Desayuno en la habitación, Perchero, Toallas / sábanas (por un suplemento), Artículos de aseo gratis, Calefacción, Ropa de cama, Cafetería en el alojamiento, TV de pantalla plana, Tarjeta de acceso, Vino / champán, Salas de reuniones / banquetes, WiFi gratis, Detectores de humo, Armario, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, Tetera/cafetera en todas las habitaciones, Plancha para ropa, Ducha, Reloj despertador, Patio, Acceso al salón executive, Adaptado personas de movilidad reducida, Radio, Parking gratis, Inglés, Minibar, Jardín, Gimnasio, Suelo de moqueta, Zona de estar",Ryde,Australia,"El MGSM Executive Hotel, situado a solo 10 minutos a pie de la estación de tren de la Universidad Macquarie, ofrece restaurante, centro de fitness, conexión Wi-Fi gratuita, habitaciones con balcón privado o patio con vistas al lago de la Universidad y el paisaje circundante.

El MGSM Executive Hotel & Conference Centre está a 10 minutos a pie del centro de Macquarie, a 20 minutos en coche del parque olímpico de Sídney, y a 30 minutos en coche del aeropuerto internacional de Sídney.

Las habitaciones tienen aire acondicionado, TV LCD con canales por cable, escritorio amplio, nevera y set de té/café.

El restaurante de Lachlan ofrece menú a la carta para el desayuno, el almuerzo y la cena. El bar salón es el lugar perfecto para tomar una copa por la noche."
"Furnished 3b/r unit for rent with Tennis courts, jaccuzi and pool",US$132,ver...,,ver...,https://cf.bstatic.com/xdata/images/hotel/max1024x768/485117398.webp?k=d29ae47329db2d17518d910edeebcffb15a92492186caf826af71ad61d601470&o=,https://www.booking.com/hotel/au/furnished-3b-r-unit-for-rent-with-tennis-courts-jaccuzi-and-pool.es.html?aid=2410095,"Aire acondicionado, Prohibido fumar en todo el alojamiento, Inglés, Piscina, TV de pantalla plana, Cocina, Calefacción, Piscina privada, Balcón, Lavadora",Ryde,Australia,"Furnished 3b/r unit for rent with Tennis courts, jaccuzi and pool se encuentra en Sídney y ofrece alojamiento con piscina privada. Este apartamento está a 9,4 km de Museo Marítimo Nacional de Australia y a 10 km de Bicentennial Park.

Este apartamento con aire acondicionado tiene acceso directo a un balcón y cuenta con 1 dormitorio independiente y cocina totalmente equipada. Se ofrece TV de pantalla plana.

Centro de eventos The Star está a 10 km del alojamiento, y Centro de Convenciones Internacional de Sídney está a 10 km. El aeropuerto más cercano (Aeropuerto Kingsford Smith de Sídney) está a 18 km del alojamiento."
ibis Thornleigh,US$132,"7,3",Bien,1.284,https://cf.bstatic.com/xdata/images/hotel/max1024x768/271069789.webp?k=6bfef3f5fbaff0b0cbac6cde013cc9260d8fa923f088acc3c6e90f564f8a61ea&o=,https://www.booking.com/hotel/au/syndey-ibis-thornleigh.es.html?aid=2410095,"Snack-bar, Desayuno, Toallas, Senderismo, Lavamanos más bajo, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Libros, DVD o música para niños, Zona de fumadores, Servicio de lavandería, Proporciona factura, Ascensor, Restaurante, Eventos deportivos en directo (emisión), Habitaciones sin humo, Menús para dietas especiales (bajo petición), Máquina expendedora (bebidas), Acceso a pisos superiores en ascensor, Papel higiénico, Hervidor eléctrico, WC, TV, Secador de pelo, Alarma de seguridad, Servicio de despertador, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Menú para niños, Cámaras de seguridad fuera del alojamiento, Bar, Servicio de despertador / alarma, Aire acondicionado, Juegos de mesa / puzles, Máquina expendedora (aperitivos), Canales vía satélite, Parking privado, Escritorio, Nevera, Extintores, Teléfono, Caja fuerte, Mobiliario exterior, Recepción 24 horas, Guardaequipaje, Servicio de conserjería, Desayuno en la habitación, Perchero, Artículos de aseo gratis, Calefacción, Ropa de cama, Sala de juegos, Cafetería en el alojamiento, TV de pantalla plana, Tarjeta de acceso, Vino / champán, Salas de reuniones / banquetes, Coreano, Adaptado para sillas de ruedas, WiFi gratis, WC con barras de apoyo, Zona TV / salón de uso compartido, Detectores de humo, Armario, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Servicio de planchado, Fruta, Parking adaptado para personas de movilidad reducida, Tetera/cafetera en todas las habitaciones, Plancha para ropa, Enchufe cerca de la cama, Ducha, Adaptado personas de movilidad reducida, Inglés, Registro de entrada y salida exprés, Jardín, Habitaciones insonorizadas, Zona de estar",Ryde,Australia,"Offering air-conditioned rooms with a flat-screen TV and an iPod dock, Hotel Ibis Thornleigh is just 750 metres from Thornleigh Railway Station. It features a 24-hour front desk, a restaurant and a bar. Sydney Adventist Hospital is a 4-minute drive away.

A refrigerator, tea and coffee maker and work desk is standard in all rooms. Each room has a bathroom with a hairdryer and guest toiletries.

Ibis Hotel Thornleigh is 30 minutes’ drive from central Sydney, and 40 minutes’ drive from Sydney Airport. Lane Cove National Park is a 15-minute drive away.

The Ibis Kitchen & Bar serves a buffet breakfast and an a la carte lunch and dinner. Meal and Beverage options are available 24 hours a day with a late-night menu available."
