hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Mad Monkey Broadway,US$30,"7,5",Bien,754,https://cf.bstatic.com/xdata/images/hotel/max1024x768/130619556.webp?k=925cd2e34aac4f81058c5e3ca49773c349e3d7415d0f5b39c6ebe0f24b178303&o=,https://www.booking.com/hotel/au/mad-monkey-backpackers-on-broadway.es.html?aid=2410095,"Guardaequipaje, Prohibido fumar en todo el alojamiento, Solo para adultos, Taquillas, Cocina compartida, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Enchufe cerca de la cama, Ducha, Servicio de lavandería, Sala de juegos, Llave de acceso, Aire acondicionado, Juegos de mesa / puzles, Comedia en vivo, Habitaciones sin humo, Inglés, Entretenimiento nocturno, WiFi gratis, Zona TV / salón de uso compartido, Detectores de humo, Acceso a pisos superiores solo mediante escaleras, Papel higiénico, WC, Ruta de bares, Extintores, Secador de pelo, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Habitaciones insonorizadas",Surry Hills,Australia,"El Mad Monkey Broadway se encuentra a menos de 10 minutos a pie de la Universidad de Tecnología de Sídney. Los huéspedes disfrutan de conexión WiFi gratuita en todas las instalaciones.

El baño es compartido. El establecimiento alberga una cocina compartida.

El Mad Monkey Backpackers queda a 10 minutos en coche de los numerosos restaurantes y bares del puerto Darling. La estación central está a 15 minutos a pie, mientras que Pitt St Mall y Hyde Park se hallan a 10 minutos en coche. La emblemática ópera de Sídney se encuentra a 15 minutos en coche."
VENUS Harbourside - FEMALE ONLY HOSTEL,US$31,"7,7",Bien,565,https://cf.bstatic.com/xdata/images/hotel/max1024x768/482698495.webp?k=2b43732471bdb12f622ccaff5c976f635f14bdafa330d434c650d333c7091a41&o=,https://www.booking.com/hotel/au/sydney-darling-harbour-pyrmont.es.html?aid=2410095,"Prohibido fumar en todo el alojamiento, Solo para adultos, Toallas / sábanas (por un suplemento), Calefacción, Artículos de aseo gratis, Cocina compartida, Taquillas, Ropa de cama, Enchufe cerca de la cama, Ducha, Cámaras de seguridad fuera del alojamiento, Servicio de lavandería, Indonesio, Terraza, Japonés, Español, Habitaciones sin humo, Francés, Inglés, Coreano, WiFi gratis, Servicio de limpieza diario, Zona TV / salón de uso compartido, Registro de entrada y salida exprés, Detectores de humo, Papel higiénico, WC, Nevera, Extintores, Cámaras de seguridad en las zonas comunitarias, Suelo de moqueta",Surry Hills,Australia,"VENUS Harbourside - FEMALE ONLY HOSTEL is located a 3-minute walk from Pyrmont Bay Light Rail Station with direct connections to Central Station and the Domestic and International Airports. It is 270 metres from Pyrmont Bay Ferry Wharf and a 5-minute walk from the Star Casino. It offers a rooftop terrace and free WiFi access.

VENUS Harbourside - FEMALE ONLY HOSTEL is a 10-minute walk from Sydney's city centre. It is a short 10-minute ferry trip from Circular Quay and the Sydney Opera House. The property is 5 minutes' walk from ICC Sydney (International Convention Centre Sydney) and 8 minutes' drive from Chinatown."
VENUS Central Sydney - FEMALE ONLY HOSTEL,US$33,"7,8",Bien,514,https://cf.bstatic.com/xdata/images/hotel/max1024x768/461686911.webp?k=0dc6beb98fd2f347f03d1ca05a36553f9301999d7a79ef01a974e6cafc2e402c&o=,https://www.booking.com/hotel/au/venus-surry-hills.es.html?aid=2410095,"Seguridad 24 horas, Vistas a la ciudad, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Solo para adultos, Toallas / sábanas (por un suplemento), Taquillas, Cocina compartida, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Enchufe cerca de la cama, Ducha, Servicio de lavandería, Aire acondicionado, Indonesio, Japonés, Español, Habitaciones sin humo, Francés, Inglés, Coreano, WiFi gratis, Servicio de limpieza diario, Zona TV / salón de uso compartido, Registro de entrada y salida exprés, Detectores de humo, WC, Extintores, Entrada privada, Cámaras de seguridad en las zonas comunitarias, Proporciona factura",Surry Hills,Australia,"VENUS Central Sydney - FEMALE ONLY HOSTEL se encuentra en Sídney, a 7 min a pie de Estación Central de Sídney, y dispone de salón de uso común, habitaciones libres de humo y wifi gratis. El alojamiento está a 15 min a pie de Museo Hyde Park Barracks, a 1,7 km de Galería de arte de Nueva Gales del Sur y a 18 min a pie de Centro de Convenciones Internacional de Sídney. Hay vistas a la ciudad.

Todas las unidades disponen de ropa de cama.

Real Jardín Botánico de Sídney está a 2,1 km del alojamiento, y Museo Marítimo Nacional de Australia está a 1,9 km. El aeropuerto más cercano (Aeropuerto Kingsford Smith de Sídney) está a 8 km."
"Secret Garden Backpackers, Sydney",US$33,"7,3",Bien,505,https://cf.bstatic.com/xdata/images/hotel/max1024x768/80415128.webp?k=e4cf7a2a732a82a4e4ba79b0859c8b6b915a84f20de5d33ee0f59b40145bc8ea&o=,https://www.booking.com/hotel/au/secret-garden-backpackers-sydney.es.html?aid=2410095,"Guardaequipaje, Suelo de moqueta, Fax / fotocopiadora, Toallas / sábanas (por un suplemento), Taquillas, Cocina compartida, Zona de fumadores, Ropa de cama, Enchufe cerca de la cama, Ducha, Ventilador, Servicio de lavandería, Sala de juegos, Juegos de mesa / puzles, Terraza, Terraza / solárium, Barbacoa, Español, Alemán, Habitaciones sin humo, Personal de animación, Inglés, Noches de cine, Entretenimiento nocturno, Francés, Italiano, WiFi gratis, Tours a pie, Máquina expendedora (bebidas), Zona TV / salón de uso compartido, Detectores de humo, Papel higiénico, Baño compartido, WC, Jardín, Proporciona factura, Mobiliario exterior",Surry Hills,Australia,"El Secret Garden Backpackers es un establecimiento joven y animado situado a menos de 10 minutos a pie de la estación central de tren de Sídney. Ofrece habitaciones compartidas modernas con baño compartido, cocina y lavadora. Hay WiFi gratuita en todas las habitaciones y zonas comunes.

Los huéspedes pueden disfrutar de bingo musical en el jardín o karaoke en Scruffy Murphys, excursiones de un día los fines de semana y tortitas gratuitas los domingos.

También hay una sala de TV y el parque Prince Alfred. Tome el tren, que le llevará a la Ópera en unos 10 minutos.

Las tiendas, restaurantes y bares de Surry Hills están a 10 minutos a pie del Secret Garden Backpackers. El puerto Darling se encuentra a 25 minutos a pie. El aeropuerto Kingsford Smith es el más cercano y está a 6 km del Secret Garden Backpackers."
Big Backpackers Hostel,US$41,"7,7",Bien,1.693,https://cf.bstatic.com/xdata/images/hotel/max1024x768/476016968.webp?k=80fcefa4527b72ce094aaaac9bbcac6f706e53032073367f5268fa40371cd681&o=,https://www.booking.com/hotel/au/big.es.html?aid=2410095,"Guardaequipaje, Seguridad 24 horas, Prohibido fumar en todo el alojamiento, Plancha para ropa, Perchero, Fax / fotocopiadora, Calefacción, Taquillas, Cocina compartida, Libros, DVD o música para niños, Ropa de cama, Enchufe cerca de la cama, Ducha, Cámaras de seguridad fuera del alojamiento, Servicio de lavandería, Griego, Aire acondicionado, Traslado aeropuerto, Ascensor, Juegos de mesa / puzles, Máquina expendedora (aperitivos), Terraza, Adaptado personas de movilidad reducida, Taquillas en el gimnasio / spa, Terraza / solárium, Barbacoa, Tarjeta de acceso, Español, Alemán, Habitaciones sin humo, Personal de animación, Inglés, Noches de cine, Entretenimiento nocturno, Adaptado para sillas de ruedas, Italiano, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Tours a pie, Máquina expendedora (bebidas), Zona TV / salón de uso compartido, Detectores de humo, Servicio de traslado, Acceso a pisos superiores en ascensor, WC, Ruta de bares, Extintores, Cámaras de seguridad en las zonas comunitarias, Jardín, Habitaciones familiares, Alarma de seguridad, Caja fuerte, Suelo de moqueta, Mobiliario exterior",Surry Hills,Australia,"Featuring free WiFi and free luggage storage, Big Backpackers Hostel is situated in a convenient location within walking distance from the city's attractions in Sydney. The hostel boasts a large terrace with a BBQ and sun deck, for relaxing on a sunny afternoon or enjoying in the evening. It is a 10-minute walk from Darling Harbour.

Big Backpackers Hostel is designed with the convenience of the traveller in mind and offers a shared fully equipped kitchen, lounge area with unlimited free WiFi and laundry facilities, which are all open 24- hours for guest use. The hostel staff are available to assist guests with advice on the city.

The rooms at Big Backpackers Hostel are a selection of mixed and female-only 8, 6 and 4-bed share dormitories, plus a large range of private rooms most with private bathrooms. The building is fully air-conditioned throughout and each floor is serviced by both an elevator and stairs. CC TV cameras are throughout the common areas of the building.

The hostel also promotes eco-friendly practices, including recycling facilities, a service for donating unwanted clothes to community charities.

Central Station is within a 5-minute walk from Big Backpackers Hostel, so guests can arrive from Sydney Airport within 20 minutes'.

The rooms at Big Backpackers Hostel are a selection of mixed and female-only 8, 6, 4 and 2-bed share dormitories."
The Village Surry Hills,US$32,"6,9",Puntuación,669,https://cf.bstatic.com/xdata/images/hotel/max1024x768/498576803.webp?k=5c509231e5f8d93fa9671432bacb2e42e6b387f88c0e41e0578030296d977c4c&o=,https://www.booking.com/hotel/au/alfred-park-accommodation.es.html?aid=2410095,"Guardaequipaje, Prohibido fumar en todo el alojamiento, Fax / fotocopiadora, Solo para adultos, Calefacción, Cámaras de seguridad fuera del alojamiento, Cocina compartida, Zona de fumadores, Ropa de cama, Enchufe cerca de la cama, Ducha, Servicio de lavandería, Sala de juegos, Aire acondicionado, Juegos de mesa / puzles, Máquina expendedora (aperitivos), Terraza, Habitaciones hipoalergénicas, Catalán, Barbacoa, Tarjeta de acceso, Español, Habitaciones sin humo, Francés, Inglés, Entretenimiento nocturno, WiFi gratis, Información turística, Máquina expendedora (bebidas), Registro de entrada y salida exprés, Detectores de humo, Acceso a pisos superiores solo mediante escaleras, Papel higiénico, WC, Ruta de bares, Extintores, Cámaras de seguridad en las zonas comunitarias, Jardín, Mobiliario exterior",Surry Hills,Australia,"El The Village Surry Hills está a solo 10 minutos a pie de la estación central de trenes y ofrece 500 MB de conexión WiFi gratuita todos los días. Todas las habitaciones ofrecen ropa de cama.

El The Village Surry Hills está a pocos metros de varias paradas de autobús que comunican con los principales lugares de interés de Sídney. También está a 6 minutos en autobús del puerto de Darling y a 10 minutos en coche de Circular Quay y de la ópera de Sídney.

Las habitaciones privadas incluyen TV. Todas las habitaciones, tanto privadas como compartidas, tienen aire acondicionado.

El establecimiento dispone de cocina compartida totalmente equipada, lavandería automática y zona de barbacoa. El albergue se encuentra frente al parque Prince Alfred.

El The Village Surry Hills está a 5 minutos a pie de varios restaurantes, bares y cafeterías."
Rydges Sydney Central,US$279,"8,0",Muy bien,4.259,https://cf.bstatic.com/xdata/images/hotel/max1024x768/329190539.webp?k=448fb82e6235cc6e1aaee937e89935ea886d30abd54d3f005f8a9d5889eca2ac&o=,https://www.booking.com/hotel/au/rydges-sydney-central.es.html?aid=2410095,"Snack-bar, Seguridad 24 horas, Toallas, Apoyo visual: carteles táctiles, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Zona de fumadores, Servicio de lavandería, Toallas de playa/piscina, Proporciona factura, Abierta todo el año, Piscina climatizada, Ascensor, Restaurante, Habitaciones hipoalergénicas, Centro de negocios, Servicio de limpieza en seco, Habitaciones sin humo, Casino, Menús para dietas especiales (bajo petición), Buffet para niños, Servicio de limpieza diario, Utensilios de planchado, Información turística, Parking en el alojamiento, Happy hour, Acceso a pisos superiores en ascensor, Papel higiénico, Hervidor eléctrico, WC, TV, Secador de pelo, Alarma de seguridad, Valla alrededor de la piscina, Parking en un garaje, Canales de pago, Servicio de despertador, Prohibido fumar en todo el alojamiento, Menú para niños, Bar, Servicio de despertador / alarma, Piscina interior, Soporte para iPod, Aire acondicionado, Muy buen desayuno, Canales vía satélite, Escritorio, Insonorización, Nevera, Extintores, Teléfono, Caja fuerte, Recepción 24 horas, Guardaequipaje, Tumbonas/sillas de playa, Bañera de hidromasaje / jacuzzi, Cajero automático en el hotel, Sauna, Desayuno en la habitación, Bañera o ducha, Artículos de aseo gratis, Perchero, Calefacción, Ropa de cama, Cafetería en el alojamiento, TV de pantalla plana, Tarjeta de acceso, Vino / champán, Salas de reuniones / banquetes, Adaptado para sillas de ruedas, WiFi gratis, WC con barras de apoyo, Detectores de humo, Armario, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Fruta, Tetera/cafetera en todas las habitaciones, Plancha para ropa, Enchufe cerca de la cama, Ducha, Reloj despertador, Llave de acceso, Apoyo visual: braille, Adaptado personas de movilidad reducida, Radio, Música / espectáculos en directo, Inglés, Entretenimiento nocturno, Zona poco profunda, Para todas las edades, Minibar, Cambio de moneda, Gimnasio, Suelo de moqueta",Surry Hills,Australia,"El Rydges Sydney Central está situado junto al distrito financiero central de Sídney y cuenta con piscina cubierta de 15 metros, spa, 1 bar y 2 restaurantes.

Las habitaciones y suites del Rydges Sydney Central tienen camas deluxe y muebles hechos a medida. Disponen de comodidades modernas como conexión a internet y TV de pantalla plana grande.

En el establecimiento hay una sauna y un centro de fitness. 

El Sydney Brewery Surry Hills, el bar y restaurante del establecimiento, ofrece cervezas de barril especiales. El restaurante Albies propone un desayuno buffet completo. Asimismo, el servicio de habitaciones está disponible las 24 horas.

El Rydges Sydney Central se encuentra a pocos minutos de las zonas famosas de tiendas y restaurantes de Sídney, como las calles Oxford y Crown. El Teatro Capitol y Chinatown se hallan a 7 y 10 minutos a pie respectivamente. Además, el ICC Sydney está a 8 minutos en coche."
57Hotel,US$321,"8,1",Muy bien,2.748,https://cf.bstatic.com/xdata/images/hotel/max1024x768/43809798.webp?k=8324d4753b89c1eae4ae5fc90c4f83bac5354b3273da40860903aa426921dd45&o=,https://www.booking.com/hotel/au/57hotel.es.html?aid=2410095,"Guardaequipaje, Seguridad 24 horas, Toallas, Servicio de despertador, Prohibido fumar en todo el alojamiento, Servicio de conserjería, Plancha para ropa, Baño privado, Bañera o ducha, Artículos de aseo gratis, Perchero, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Calefacción, Ropa de cama, Ducha, Servicio de lavandería, Hindi, Chino, Llave de acceso, Aire acondicionado, Traslado aeropuerto, Ascensor, TV de pantalla plana, Adaptado personas de movilidad reducida, Español, Servicio de limpieza en seco, Tarjeta de acceso, Habitaciones sin humo, Inglés, WiFi gratis, Servicio de limpieza diario, Registro de entrada y salida exprés, Escritorio, Detectores de humo, Acceso a pisos superiores en ascensor, Papel higiénico, WC, Plancha para pantalones, Ruso, TV, Secador de pelo, Cámaras de seguridad en las zonas comunitarias, Teléfono, Habitaciones familiares, Servicio de planchado, Caja fuerte, Suelo de moqueta, Recepción 24 horas",Surry Hills,Australia,"El 57 Hotel está situado a 5 minutos a pie de la estación central de Sídney y ofrece habitaciones de estilo moderno con aire acondicionado y WiFi gratuita.

El establecimiento está a 7 minutos a pie de Crown Street, que alberga algunas de las tiendas y sitios para comer más importantes de la zona de Surry Hills. También se encuentra a 10 minutos a pie de los locales de ocio nocturno de Oxford Street y a unos 10 minutos en coche de la ópera de Sídney y el puente de la bahía de Sídney. de la ópera de Sídney y el puente de la bahía de Sídney.

Sus habitaciones tienen ropa de cama de lujo, TV de pantalla plana de 42 pulgadas, ducha de efecto lluvia, artículos de aseo ecológicos, caja fuerte, secador de pelo y utensilios de planchado. Además, hay nevera o minibar bajo petición. Se ofrece una bandeja de té de forma gratuita.

El 57 Hotel está a 30 minutos a pie atravesando el distrito financiero de Sídney del puerto Circular Quay, la ópera y los jardines botánicos reales de Sídney, con vistas al puente emblemático de la bahía.

El establecimiento cuenta con consigna de equipaje, servicios de lavandería y de limpieza en seco y recepción abierta las 24 horas."
Royal Exhibition Hotel,US$263,"7,4",Bien,1.256,https://cf.bstatic.com/xdata/images/hotel/max1024x768/221536860.webp?k=341ee0ba6bb8d2ccf83e0ad00077dcab9349a0d0ad501baba6abf6d7e3347909&o=,https://www.booking.com/hotel/au/royal-exhibition.es.html?aid=2410095,"Guardaequipaje, Toallas, Canales por cable, Prohibido fumar en todo el alojamiento, Menú para niños, Cajero automático en el hotel, Baño privado, Artículos de aseo gratis, Calefacción, Cámaras de seguridad fuera del alojamiento, Bar, Zona de fumadores, Ropa de cama, Enchufe cerca de la cama, Ducha, Aire acondicionado, Ascensor, Restaurante, TV de pantalla plana, Eventos deportivos en directo (emisión), Tarjeta de acceso, Caja fuerte para ordenador portátil, Habitaciones sin humo, Casino, Vino / champán, Canales vía satélite, Menús para dietas especiales (bajo petición), Inglés, WiFi gratis, Servicio de limpieza diario, Happy hour, Escritorio, Detectores de humo, Acceso a pisos superiores en ascensor, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Entrada privada, Campo de golf (a menos de 3 km), Jardín, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Caja fuerte, Suelo de moqueta, Zona de estar",Surry Hills,Australia,"El Royal Exhibition Hotel se encuentra en el centro de Sídney, justo enfrente de la estación central de tren, y ofrece bar de cócteles, bistró y taberna al aire libre de 2 niveles. Cuenta con habitaciones reformadas con ventanas de doble acristalamiento y TV de pantalla plana.

Los huéspedes podrán disfrutar de las instalaciones de juego o seguir algún evento deportivo en las TV de pantalla de plasma del bar. El porche amplio que rodea el hotel ofrece vistas preciosas al parque y a la calle.

Las habitaciones se limpian a diario y cuentan con aire acondicionado, nevera, caja fuerte, set de té/café y baño privado con secador de pelo.

El hotel se encuentra junto al parque Prince Alfred, a 15 minutos a pie de Darling Harbour y el teatro Capitol, a 28 minutos a pie de ICC Sydney (Centro Internacional de Convenciones de Sídney) y a 5 minutos a pie de varios bares y sitios para comer.

El Royal Exhibition Hotel se encuentra a 8 minutos en tren del puente de la bahía de Sídney, la ópera de Sídney y el barrio The Rocks, así como a 10 minutos en autobús del campo de cricket y el estadio de fútbol de Sídney."
Crystalbrook Albion,US$325,"9,0",Fantástico,454,https://cf.bstatic.com/xdata/images/hotel/max1024x768/153873063.webp?k=57a9a51153df876e36c248c6bc520c8fe221e6c2bfda912ecaffb085bc71f11c&o=,https://www.booking.com/hotel/au/little-albion-guest-house-surry-hills.es.html?aid=2410095,"Guardaequipaje, Snack-bar, Tetera/cafetera en todas las habitaciones, Toallas, Cesta para mascotas, Servicio de despertador, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Toda la unidad en la planta baja, Artículos de aseo gratis, Calefacción, iPad, Bar, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Enchufe cerca de la cama, Ducha, Zona de fumadores, Servicio de lavandería, Llave de acceso, Aire acondicionado, Ascensor, Cafetería en el alojamiento, Máquina expendedora (aperitivos), TV de pantalla plana, Terraza, Adaptado personas de movilidad reducida, Zapatillas, Centro de negocios, Servicio de limpieza en seco, Español, Habitaciones sin humo, Canales vía satélite, Boles para mascotas, Inglés, Adaptado para sillas de ruedas, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Máquina expendedora (bebidas), Happy hour, Detectores de humo, Acceso a pisos superiores en ascensor, Papel higiénico, Hervidor eléctrico, WC, Nevera, TV, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Servicio de planchado, Caja fuerte, Mobiliario exterior, Recepción 24 horas, Fruta",Surry Hills,Australia,"Situated in the heart of Surry Hills in Sydney, Crystalbrook Albion offers accommodation with an eclectic mix of heritage and contemporary details. It features a 24-hour desk with a team of hosts available to offer individualised service, a rooftop garden oasis with views over Surry Hills and Sydney city and an honour bar featuring top-shelf beverages and gourmet nibbles.

Cyrstalbrook Albion offers sustainability initiatives, including no plastic straws, water bottles or guest-room key cards, using technology to reduce paper and providing large-pump amenities bottles. The hotel is also partnered with Citizens of the Great Barrier Reef, TerraCycle, OzHarvest and Containers for Change.

Cyrstalbrook Albion features a variety of guest rooms, which all feature air-conditioning, a flat-screen TV and a private bathroom with a hairdryer, free toiletries, bathrobes and slippers.

The boutique hotel is housed within a unique heritage building, full of history, dating back to its original construction in 1903 as a former school convent. The property was transformed into a modern boutique hotel in 2018, largely influenced by 1920's and 1970's styles of interiors.

Cyrstalbrook Albion is located in the vibrant inner-Sydney suburb of Surry Hills, which is home to a range of food and beverage offerings a short walk away, such as Chin Chin, Firedoor and Nomad. The nearest airport is Kingsford Smith Airport, 7 km from Crystalbrook Albion."
Adge Hotel and Residences,US$268,"8,6",Fabuloso,653,https://cf.bstatic.com/xdata/images/hotel/max1024x768/475456868.webp?k=d6bb35ebc4b735a068cc9e62ab2ce7541b74a44fee98f568ecaf2ac27aacb9ef&o=,https://www.booking.com/hotel/au/adge-apartment.es.html?aid=2410095,"Seguridad 24 horas, Prohibido fumar en todo el alojamiento, Baño privado, Calefacción, Cámaras de seguridad fuera del alojamiento, Chino, Llave de acceso, Aire acondicionado, Ascensor, Parking en un garaje, Español, Tarjeta de acceso, Habitaciones sin humo, Italiano, Inglés, WiFi gratis, Parking en el alojamiento, Registro de entrada y salida exprés, Detectores de humo, Extintores, Campo de golf (a menos de 3 km), Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Alarma de seguridad, Caja fuerte, Proporciona factura, Parking adaptado para personas de movilidad reducida",Surry Hills,Australia,"El Adge Hotel and Residences está a solo 6 minutos en coche del emblemático puerto de Sídney y ofrece conexión WiFi gratuita. Los apartamentos incluyen TV por cable de pantalla plana con 20 canales y balcón privado con vistas a la ciudad o a la zona este.

Los apartamentos también tienen soporte para iPod, cocina completamente equipada con horno, fogones y microondas y baño privado con artículos de aseo de lujo Black Label Appelles.

El Adge Hotel and Residences está a 10 minutos a pie del parque Hyde y del centro de Sídney, a 6 minutos en coche del barrio chino y a 8 minutos en coche del Puerto Darling."
202 Elizabeth,US$544,"9,0",Fantástico,605,https://cf.bstatic.com/xdata/images/hotel/max1024x768/422135446.webp?k=6193cede8b57bb5ce809e2f4f857b3d63ab10d39bdc9c3bdc58075cb5be22d72&o=,https://www.booking.com/hotel/au/202-elizabeth.es.html?aid=2410095,"Guardaequipaje, Seguridad 24 horas, Cesta para mascotas, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Servicio de conserjería, Plancha para ropa, Baño privado, Fax / fotocopiadora, Artículos de aseo gratis, Calefacción, Albornoz, Cámaras de seguridad fuera del alojamiento, Solo para adultos, Ducha, Servicio de lavandería, Aire acondicionado, Estación de carga de vehículos eléctricos, Ascensor, Cafetería en el alojamiento, TV de pantalla plana, Registro de entrada / salida privado, Terraza / solárium, Zapatillas, Servicio de limpieza en seco, Tarjeta de acceso, Habitaciones sin humo, Vino / champán, Boles para mascotas, Inglés, WiFi gratis, Servicio de limpieza diario, Parking adaptado para personas de movilidad reducida, Parking, Zona TV / salón de uso compartido, Registro de entrada y salida exprés, Escritorio, Detectores de humo, Extintores, TV, Secador de pelo, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Caja fuerte, Proporciona factura, Mobiliario exterior, Recepción 24 horas, Parking en un garaje",Surry Hills,Australia,"202 Elizabeth está muy bien situado en el barrio de Surry Hills, Sídney, a 16 min a pie de Museo Hyde Park Barracks, a 1,7 km de Galería de arte de Nueva Gales del Sur y a 18 min a pie de Centro de Convenciones Internacional de Sídney. Este hotel de 5 estrellas tiene wifi gratis, salón de uso común y recepción 24 horas. Este alojamiento libre de humo está a 7 min a pie de Estación Central de Sídney.

En el hotel, las habitaciones disponen de escritorio. Las unidades del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones también cuentan con balcón. Todas las unidades tienen caja fuerte.

202 Elizabeth ofrece terraza solárium.

Real Jardín Botánico de Sídney está a 2,2 km del alojamiento, y Museo Marítimo Nacional de Australia está a 1,9 km. El aeropuerto (Aeropuerto Kingsford Smith de Sídney) está a 8 km."
Belvoir Street Department,US$104,"5,3",Puntuación,50,https://cf.bstatic.com/xdata/images/hotel/max1024x768/433384612.webp?k=dca5fe023e258e10d1392e922d3afaacc2c5d90f5d7da51b392ba92d62a00297&o=,https://www.booking.com/hotel/au/belvoir-street-department.es.html?aid=2410095,"Habitaciones sin humo, Prohibido fumar en todo el alojamiento, Inglés, Jardín, WiFi gratis, Calefacción",Surry Hills,Australia,"Belvoir Street Department se encuentra en Sídney, a 13 min a pie de Estación Central de Sídney y a 2,6 km de Museo Hyde Park Barracks, y ofrece alojamiento con wifi gratis y jardín.

Galería de arte de Nueva Gales del Sur está a 2,8 km del alojamiento, y Centro de Convenciones Internacional de Sídney está a 3,4 km. El aeropuerto más cercano (Aeropuerto Kingsford Smith de Sídney) está a 7 km del alojamiento."
One Bedroom Unit at Sydney Best Location,US$213,"7,9",Bien,14,https://cf.bstatic.com/xdata/images/hotel/max1024x768/533960193.webp?k=7e871c58758a271103c969b4f8663e95c2501981e7527f5b06dce1ff6049e801&o=,https://www.booking.com/hotel/au/modern-unit-in-surry-hills.es.html?aid=2410095,"Guardaequipaje, Desayuno, Toallas, Vistas a la ciudad, Plancha para ropa, Baño privado, Perchero, Artículos de aseo gratis, Calefacción, Cocina, Ventilador, Zona de fumadores, Ropa de cama, Piscina interior, Productos de limpieza, Tostadora, Mosquitera, Juegos de mesa / puzles, Ascensor, Terraza, Microondas, Adaptado personas de movilidad reducida, Barbacoa, Parking gratis, Español, Caja fuerte para ordenador portátil, Habitaciones sin humo, Canales vía satélite, Inglés, Adaptado para sillas de ruedas, Utensilios de planchado, Lavadora, Vistas al jardín, Nevera, TV, Sofá, Caja fuerte, Lavavajillas, Parking adaptado para personas de movilidad reducida",Surry Hills,Australia,"One Bedroom Unit at Sydney Best Location es un alojamiento con vistas al jardín que está en Sídney, a 2,2 km de Galería de arte de Nueva Gales del Sur y a 2,9 km de Centro de Convenciones Internacional de Sídney. El alojamiento tiene parking privado gratis y está a 14 min a pie de Estación Central de Sídney y a 1,8 km de Museo Hyde Park Barracks.

El apartamento tiene 1 dormitorio, 1 baño, ropa de cama, toallas, TV con canales vía satélite, cocina totalmente equipada y terraza con vistas a la ciudad.

En el apartamento se puede disfrutar de un desayuno a la carta o italiano.

Real Jardín Botánico de Sídney está a 3,1 km del alojamiento, y Museo Marítimo Nacional de Australia está a 3,1 km. El aeropuerto más cercano (Aeropuerto Kingsford Smith de Sídney) está a 8 km."
Paul’s Boutique,US$124,"5,8",Puntuación,137,https://cf.bstatic.com/xdata/images/hotel/max1024x768/438483489.webp?k=fdcc2660f68726f4ce1729a7475e51890bf50d1a713c7bd4836317f8b3e3acd7&o=,https://www.booking.com/hotel/au/pauls-boutique.es.html?aid=2410095,"Detectores de humo, Baño compartido, Habitaciones sin humo, Extintores, Prohibido fumar en todo el alojamiento, Inglés, Cámaras de seguridad en las zonas comunitarias, Jardín, WiFi gratis, Terraza, Cocina compartida, Registro de entrada / salida privado, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Servicio de lavandería",Surry Hills,Australia,"Paul’s Boutique está a 13 min a pie de Estación Central de Sídney y ofrece alojamiento conjardín, terraza y cocina compartida. Hay wifi gratis en todo el alojamiento.

Algunas unidades están equipadas con aire acondicionado, TV de pantalla plana, lavadora, hervidor y zona de cocina.

Museo Hyde Park Barracks está a 2,6 km del alojamiento, y Centro de Convenciones Internacional de Sídney está a 2,9 km. El aeropuerto (Aeropuerto Kingsford Smith de Sídney) está a 7 km."
