hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Anush`s B&B,US$40,"9,4",Fantástico,116,https://cf.bstatic.com/xdata/images/hotel/max1024x768/106548438.webp?k=5fb23f2b86ff0bc03e07eb8235860662e915b7c2788d71147b20fe048e258f95&o=,https://www.booking.com/hotel/am/anush-s-b-amp-b.es.html?aid=2410095,"Ruso, Recepción 24 horas, Jardín, Senderismo, Menú para niños, Estación de carga de vehículos eléctricos, Zona TV / salón de uso compartido, Cajero automático en el hotel, Seguridad 24 horas, Zona de pícnic, Fruta, Chimenea exterior, Alquiler de coches, Guardaesquíes, Zona de juegos interior, Paquetes de spa / bienestar, Servicio de aparcacoches, Cenas temáticas, Sombrillas, Registro de entrada / salida privado, Aire acondicionado, Baños públicos, WiFi gratis, Servicio de planchado, Información turística, Zona de fumadores, Esquí, Capilla, Parking en la calle, Servicio de limpieza diario, Desayuno excepcional, Pediluvio, Tours en bici, Habitaciones familiares, Traslado aeropuerto, Terraza / solárium, Mobiliario exterior, Habitaciones sin humo, Happy hour, Cocina compartida, Parking gratis, Pesca, Vino / champán, Tours a pie, Cambio de moneda, Registro de entrada y salida exprés, Acceso directo a pistas, Equipamiento de bádminton",Hats’avan,Armenia,"Anush`s B&B está en Tatʼev y dispone de wifi gratis, jardín, salón de uso común y acceso a pie de pista.

En el bed and breakfast, la clientela puede practicar esquí en los alrededores o disfrutar de la terraza solárium.

El aeropuerto (Aeropuerto de Parsabad) está a 219 km, y el alojamiento ofrece servicio de traslado gratis para ir o volver del aeropuerto."
Aspet B&B,US$20,"9,3",Fantástico,68,https://cf.bstatic.com/xdata/images/hotel/max1024x768/268450474.webp?k=20ccb381aadb8c592862d42fceadfe529ec246140755f2ee25088858e0c7cd16&o=,https://www.booking.com/hotel/am/aspet.es.html?aid=2410095,"Servicio de habitaciones, Ruso, Tour o clase sobre cultura local, Terraza, Recepción 24 horas, Jardín, Menú para niños, Zona TV / salón de uso compartido, Zona de pícnic, Servicio de lavandería, Equitación, Registro de entrada / salida privado, Calefacción, WiFi gratis, Barbacoa, Desayuno en la habitación, Servicio de planchado, Servicio de entrega de comestibles, Capilla, Servicio de limpieza diario, Desayuno excepcional, Almuerzos para llevar, Habitaciones familiares, Inglés, Terraza / solárium, Habitaciones sin humo, Cocina compartida, Menús para dietas especiales (bajo petición), Parking gratis, Vino / champán, Tours a pie, Canguro / servicios para niños, Registro de entrada y salida exprés, Servicio de traslado",Hats’avan,Armenia,"Aspet B&B se encuentra en Tatʼev y dispone de jardín, salón de uso común, terraza y wifi gratis en todo el alojamiento. Este alojamiento, que cuenta con habitaciones familiares, también ofrece barbacoa. El alojamiento ofrece cocina compartida y servicio de habitaciones.

El personal de la recepción 24 horas habla inglés y ruso, y siempre está dispuesto a echar una mano.

El aeropuerto más cercano (Aeropuerto de Parsabad) está a 219 km del alojamiento."
AlexMila,US$17,"9,8",Excepcional,4,https://cf.bstatic.com/xdata/images/hotel/max1024x768/488220061.webp?k=f5f133e04691a9e404ae5035fe27c100441e70b0285af2dd5b51fac8980cf66d&o=,https://www.booking.com/hotel/am/alexmila.es.html?aid=2410095,"Tetera / cafetera, Ruso, Baño compartido, Desayuno, Terraza, Jardín, Parking gratis, Hervidor eléctrico, Bañera de hidromasaje / jacuzzi, Habitaciones familiares, Toallas, Tetera/cafetera en todas las habitaciones, Papel higiénico, Vistas, Ropa de cama",Hats’avan,Armenia,"AlexMila se encuentra en Tatʼev y ofrece alojamiento con parking privado gratis.

Algunas unidades también tienen una cocina equipada con nevera.

El bed and breakfast dispone de terraza, además de jardín.

El aeropuerto más cercano (Aeropuerto de Parsabad) está a 219 km del alojamiento."
Armine B&B,US$17,"9,6",Excepcional,51,https://cf.bstatic.com/xdata/images/hotel/max1024x768/151566433.webp?k=20ab1d56dbec6e3cba0245bc620f7683b0609f077909ddbe68d8fd8a86d611b2&o=,https://www.booking.com/hotel/am/armine-b-b.es.html?aid=2410095,"Ruso, Ducha, Desayuno, Terraza, Balcón, Jardín, Senderismo, TV de pantalla plana, Menú para niños, Recepción 24 horas, Acceso a pisos superiores solo mediante escaleras, Zona de pícnic, Fruta, Papel higiénico, Vistas a un lugar de interés, Vistas a un patio interior, Suelo de madera o parquet, Zapatillas, Tetera / cafetera, Secador de pelo, Baño compartido, Vistas a la montaña, Registro de entrada / salida privado, Calefacción, Artículos de aseo gratis, Vistas a la ciudad, Cocina, Zona de comedor exterior, WiFi gratis, Tetera/cafetera en todas las habitaciones, Aseo compartido, Barbacoa, Nevera, Cafetería en el alojamiento, Desayuno en la habitación, Servicio de entrega de comestibles, Zona de fumadores, Capilla, Parking en la calle, Servicio de limpieza diario, Llave de acceso, Almuerzos para llevar, Habitaciones familiares, Toallas, Inglés, Lavadora, Traslado aeropuerto, Utensilios de cocina, Vistas, Terraza / solárium, Mobiliario exterior, Armario, Vistas al jardín, Habitaciones sin humo, Suelo de moqueta, Cocina compartida, Parking gratis, Hervidor eléctrico, Zona de cocina, WC, Vino / champán, Tours a pie, Registro de entrada y salida exprés, Servicio de traslado, Ropa de cama",Hats’avan,Armenia,"Armine B&B tiene vistas a la montaña, se encuentra en Tatʼev y cuenta con restaurante y cocina compartida. Hay wifi gratis en todo el alojamiento.

Cada unidad tiene terraza con vistas a la ciudad, TV de pantalla plana vía satélite, cocina bien equipada y baño compartido con ducha, artículos de aseo gratuitos y secador de pelo. También se ofrece nevera y hervidor.

El bed and breakfast dispone de barbacoa y jardín.

El aeropuerto (Aeropuerto de Parsabad) está a 219 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Alex BnB,US$17,"9,2",Fantástico,24,https://cf.bstatic.com/xdata/images/hotel/max1024x768/373551366.webp?k=68c54582c6960ffa09fbcaf4c5cce9ebd8b8cf3115a7ac6872cd1a947ca093b3&o=,https://www.booking.com/hotel/am/alex-arman.es.html?aid=2410095,"Servicio de habitaciones, Servicio de limpieza en seco, Ruso, Desayuno, Terraza, Jardín, Menú para niños, Fruta, Papel higiénico, Vistas a un patio interior, Servicio de aparcacoches, Vistas a la montaña, Equitación, Registro de entrada / salida privado, Vistas a la ciudad, Cocina, WiFi gratis, Nevera, Zona de comedor, Cafetería en el alojamiento, Desayuno en la habitación, Capilla, Mesa de comedor, Servicio de limpieza diario, Habitaciones familiares, Toallas, Traslado aeropuerto, Vistas, Terraza / solárium, Mobiliario exterior, Vistas al jardín, Habitaciones sin humo, Cocina compartida, Supermercado pequeño en el alojamiento, Parking gratis, Hervidor eléctrico, Vino / champán, Tours a pie, Canguro / servicios para niños, Ropa de cama",Hats’avan,Armenia,"Alex BnB está en Tatʼev y tiene vistas a la montaña, wifi gratis y parking privado gratis.

Algunos alojamientos incluyen una terraza con vistas a la ciudad, zona de cocina totalmente equipada y baño privado con ducha.

También hay un jardín ideal para relajarse.

El aeropuerto más cercano (Aeropuerto de Parsabad) está a 219 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Flamenco Hotel,US$50,"8,7",Fabuloso,66,https://cf.bstatic.com/xdata/images/hotel/max1024x768/230605064.webp?k=495ed35463b899ac127fc49220bde884f029d8f1187dd648832e32d5d5a15602&o=,https://www.booking.com/hotel/am/flamenco.es.html?aid=2410095,"Ruso, Tour o clase sobre cultura local, Fax / fotocopiadora, Desayuno, Personal de animación, Recepción 24 horas, Peluquería / salón de belleza, Karaoke, Cajero automático en el hotel, Seguridad 24 horas, Fruta, Cámaras de seguridad en las zonas comunitarias, Servicio de lavandería, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Extintores, Calefacción, Armenio, WiFi gratis, Cafetería en el alojamiento, Servicio de planchado, Información turística, Servicio de entrega de comestibles, Zona de fumadores, Habitaciones insonorizadas, Eventos deportivos en directo (emisión), Salas de reuniones / banquetes, Bar, Servicio de limpieza diario, Restaurante, Llave de acceso, Almuerzos para llevar, Tours en bici, Habitaciones familiares, Inglés, Plancha para pantalones, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Supermercado pequeño en el alojamiento, Cámaras de seguridad fuera del alojamiento, Vino / champán, Tours a pie, Registro de entrada y salida exprés, Alarma de seguridad",Hats’avan,Armenia,"Flamenco Hotel, que tiene bar, está en Sisian. Este alojamiento ofrece restaurante, recepción 24 horas y cajero automático, además de wifi gratis. Algunas unidades del alojamiento disponen de un balcón con vistas a la ciudad.

En el hotel se sirve todas las mañanas un desayuno continental.

El aeropuerto más cercano (Aeropuerto internacional de Ganja) está a 300 km."
DINA,US$50,"7,0",Bien,1,https://cf.bstatic.com/xdata/images/hotel/max1024x768/179154119.webp?k=04c8c4629e0e715f111aafe584a8763bb84d58bd372ab6e179675efd7ea2b3c2&o=,https://www.booking.com/hotel/am/dina.es.html?aid=2410095,"Servicio de habitaciones, Ruso, Desayuno, Terraza, Balcón, Jardín, Bañera, TV de pantalla plana, Menú para niños, Peluquería / salón de belleza, Recepción 24 horas, WiFi gratis, Barbacoa, Servicio de entrega de comestibles, Servicio de planchado, Servicio de limpieza diario, Piscina, Baño privado, Almuerzos para llevar, Inglés, Traslado aeropuerto, Vistas, Menús para dietas especiales (bajo petición), Máquina expendedora (bebidas), Parking gratis, Supermercado pequeño en el alojamiento",Hats’avan,Armenia,"DINA está en Sisian y tiene jardín, terraza, restaurante y wifi gratis en todo el alojamiento. Hay parking privado gratis y el alojamiento dispone de servicio de traslado de pago para ir o volver del aeropuerto.

En el hotel, cada habitación dispone de balcón, baño privado y TV de pantalla plana.

En la recepción 24 horas se habla inglés y ruso, y el personal siempre está dispuesto a echar una mano.

El aeropuerto (Aeropuerto internacional de Ganja) está a 299 km."
MITANE,US$24,"9,5",Excepcional,55,https://cf.bstatic.com/xdata/images/hotel/max1024x768/310012964.webp?k=2f84a9e361684a14c6713e5f3fe165fde31b8396092509bd6b2b33ac66d68351&o=,https://www.booking.com/hotel/am/mitane.es.html?aid=2410095,"Vestidor, Ducha, Productos de limpieza, Zona de estar, Ruso, Desayuno, Terraza, Jardín, Perchero, TV de pantalla plana, Papel higiénico, Bañera o ducha, Alquiler de coches, Suelo de madera o parquet, Zapatillas, Escritorio, Secador de pelo, Tetera / cafetera, Plancha para ropa, Prohibido fumar en todo el alojamiento, Calefacción, TV, Aire acondicionado, Cocina, Armenio, WiFi gratis, Tetera/cafetera en todas las habitaciones, Aseo compartido, Nevera, Zona de comedor, Mosquitera, Fogones, Mesa de comedor, Enchufe cerca de la cama, Habitaciones familiares, Toallas, Albornoz, Inglés, Lavadora, Utensilios de cocina, Armario, Habitaciones sin humo, Sofá, Tendedero, Suelo de moqueta, Hervidor eléctrico, WC, Horno, Ropa de cama",Hats’avan,Armenia,"MITANE está en Sisian y tiene jardín, terraza y wifi gratis. El hostal o pensión dispone de habitaciones familiares.

Todas las habitaciones están equipadas con aire acondicionado, nevera, horno, hervidor, ducha, secador de pelo y escritorio. En el hostal o pensión, cada habitación está equipada con armario y TV de pantalla plana, y algunas también ofrecen balcón. En MITANE, las habitaciones tienen ropa de cama y toallas.

El aeropuerto (Aeropuerto internacional de Ganja) está a 299 km."
Ani Hotel,US$17,"8,2",Muy bien,6,https://cf.bstatic.com/xdata/images/hotel/max1024x768/413497679.webp?k=f93d60b2a42c3b3472943e92028bfdd45f2382295f10da5b0e3cdef38f3eeba3&o=,https://www.booking.com/hotel/am/ani-sisian.es.html?aid=2410095,"Servicio de habitaciones, Ruso, Desayuno, Terraza, Jardín, Zona de pícnic, Servicio de lavandería, Registro de entrada / salida privado, Parque acuático, Barbacoa, Servicio de planchado, Desayuno en la habitación, Zona de juegos para niños, Bar, Restaurante, Habitaciones familiares, Mobiliario exterior, Habitaciones sin humo, Happy hour, Parking gratis",Hats’avan,Armenia,"Ani Hotel tiene jardín, terraza, restaurante y bar en Sisian. Este hotel de 4 estrellas ofrece servicio de habitaciones. El hotel dispone de habitaciones familiares.

El hotel ofrece zona de juegos infantil.

El aeropuerto (Aeropuerto internacional de Ganja) está a 300 km."
Hotel Basen,US$25,"9,4",Fantástico,49,https://cf.bstatic.com/xdata/images/hotel/max1024x768/280216341.webp?k=bcc360b6525386470bb67b7b4903b893c918879c7f67c9d2253493dcddde94da&o=,https://www.booking.com/hotel/am/basen-goris.es.html?aid=2410095,"Ruso, Ducha, Tour o clase sobre cultura local, Desayuno, Traslado aeropuerto (gratis), Terraza, Perchero, Senderismo, Español, Seguridad 24 horas, Acceso a pisos superiores solo mediante escaleras, Fruta, Papel higiénico, Juegos de mesa / puzles, Zapatillas, Escritorio, Secador de pelo, Servicio de lavandería, Equitación, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Extintores, Calefacción, Artículos de aseo gratis, Adaptado para sillas de ruedas, Proporciona factura, WiFi gratis, Nevera, Servicio de planchado, Información turística, Zona de fumadores, Mosquitera, Alquiler de bicicletas, Bar, Clases de cocina, Servicio de limpieza diario, Restaurante, Adaptado personas de movilidad reducida, Baño privado, Enchufe cerca de la cama, Almuerzos para llevar, Habitaciones familiares, Toallas, Inglés, Ping pong, Traslado aeropuerto, Mobiliario exterior, Armario, Camas extralargas (más de 2 metros), Habitaciones sin humo, Menús para dietas especiales (bajo petición), Parking gratis, Hervidor eléctrico, Pesca, WC, Vino / champán, Tours a pie, Fax / fotocopiadora, Ciclismo, Ropa de cama",Hats’avan,Armenia,"El Hotel Basen se encuentra en Sisian y alberga un restaurante. La conexión WiFi es gratuita.

Las habitaciones cuentan con armario, nevera, baño privado con zapatillas y escritorio.

El Hotel Basen dispone de terraza y servicios de planchado y lavandería, y los huéspedes pueden practicar varias actividades tanto en el establecimiento como en los alrededores, como equitación."
Runada B&B,US$23,"8,8",Fabuloso,6,https://cf.bstatic.com/xdata/images/hotel/max1024x768/388753460.webp?k=89e477ec711651ae1a0a1e3105a0820f1e61f697c91494886e8ff173f4eb87d0&o=,https://www.booking.com/hotel/am/runada-b-amp-b.es.html?aid=2410095,"Ruso, Ducha, Desayuno, Terraza, Jardín, Recepción 24 horas, Zona TV / salón de uso compartido, Zona de pícnic, Papel higiénico, Chimenea exterior, Guardaequipaje, Alquiler de coches, Secador de pelo, Servicio de lavandería, Prohibido fumar en todo el alojamiento, Calefacción, WiFi gratis, Zona de fumadores, Toallas, Inglés, Habitaciones sin humo, Cocina compartida, Parking gratis, WC, Ropa de cama",Hats’avan,Armenia,"Runada B&B está en Sisian y tiene jardín, salón de uso común, terraza y wifi gratis en todo el alojamiento. Hay parking privado gratis y hostal o pensión también dispone de alquiler de coches para descubrir los alrededores.

En el hostal o pensión, las habitaciones disponen de ropa de cama y toallas.

En la recepción 24 horas se hablan varios idiomas, como inglés y ruso.

El aeropuerto (Aeropuerto internacional de Ganja) está a 300 km."
Karin's B&B,US$30,"9,3",Fantástico,47,https://cf.bstatic.com/xdata/images/hotel/max1024x768/149770504.webp?k=f45c6e40f694d00e75f44d6b0a11eb546efa10ffd3aec7e5f80a0cf720492fab&o=,https://www.booking.com/hotel/am/karin-39-s-b-amp-b.es.html?aid=2410095,"Ruso, Desayuno, Terraza, Jardín, Senderismo, Recepción 24 horas, Zona TV / salón de uso compartido, Zona de pícnic, Guardaequipaje, Prohibido fumar en todo el alojamiento, Calefacción, WiFi gratis, Barbacoa, Zona de fumadores, Habitaciones familiares, Inglés, Terraza / solárium, Mobiliario exterior, Habitaciones sin humo, Cocina compartida, Parking gratis, Pesca, Tours a pie, Canguro / servicios para niños",Hats’avan,Armenia,"Karin's B&B está en Sisian y dispone de wifi gratis, jardín, salón de uso común y terraza.

Algunos alojamientos incluyen patio, TV de pantalla plana vía satélite y ordenador portátil.

El bed and breakfast ofrece barbacoa.

El aeropuerto (Aeropuerto internacional de Ganja) está a 299 km."
Zoratc QARER,US$16,"7,0",Bien,2,https://cf.bstatic.com/xdata/images/hotel/max1024x768/487824647.webp?k=63a02040ebf2b09015433d4b2a81c295af9f1e2b6b29dc742fbbd971d3f52ede&o=,https://www.booking.com/hotel/am/bitcoin.es.html?aid=2410095,"Ruso, Secador de pelo, Ducha, Terraza, Baño privado, Balcón, Parking gratis, Prohibido fumar en todo el alojamiento, WC, Toallas, Inglés, WiFi gratis, Papel higiénico, Turco, Vistas, Ropa de cama, Armario",Hats’avan,Armenia,"Zoratc QARER dispone de alojamiento en Sisian. Hay terraza, wifi gratis y parking privado gratis.

En el hostal o pensión, las habitaciones tienen balcón. Todas las habitaciones tienen baño privado, secador de pelo y ropa de cama.

El aeropuerto (Aeropuerto internacional de Ganja) está a 298 km."
Shamb Hotel,US$40,"8,5",Muy bien,2,https://cf.bstatic.com/xdata/images/hotel/max1024x768/262644124.webp?k=a253832ae4c76d1d88fd58c20a318945dcd6ace484f0933f0968d220cb813999&o=,https://www.booking.com/hotel/am/shamb.es.html?aid=2410095,"Servicio de habitaciones, Bar, Habitaciones sin humo, Ruso, Desayuno, Jardín, Parking gratis, Habitaciones familiares, Vistas",Hats’avan,Armenia,"Shamb Hotel está en Sisian y tiene jardín, restaurante y bar. El hotel dispone de habitaciones familiares.

El aeropuerto (Aeropuerto internacional de Ganja) está a 301 km."
Anush`s B&B,US$40,"9,4",Fantástico,116,https://cf.bstatic.com/xdata/images/hotel/max1024x768/106548438.webp?k=5fb23f2b86ff0bc03e07eb8235860662e915b7c2788d71147b20fe048e258f95&o=,https://www.booking.com/hotel/am/anush-s-b-amp-b.es.html?aid=2410095,"Ruso, Recepción 24 horas, Jardín, Senderismo, Menú para niños, Estación de carga de vehículos eléctricos, Zona TV / salón de uso compartido, Cajero automático en el hotel, Seguridad 24 horas, Zona de pícnic, Fruta, Chimenea exterior, Alquiler de coches, Guardaesquíes, Zona de juegos interior, Paquetes de spa / bienestar, Servicio de aparcacoches, Cenas temáticas, Sombrillas, Registro de entrada / salida privado, Aire acondicionado, Baños públicos, WiFi gratis, Servicio de planchado, Información turística, Zona de fumadores, Esquí, Capilla, Parking en la calle, Servicio de limpieza diario, Desayuno excepcional, Pediluvio, Tours en bici, Habitaciones familiares, Traslado aeropuerto, Terraza / solárium, Mobiliario exterior, Habitaciones sin humo, Happy hour, Cocina compartida, Parking gratis, Pesca, Vino / champán, Tours a pie, Cambio de moneda, Registro de entrada y salida exprés, Acceso directo a pistas, Equipamiento de bádminton",Hats’avan,Armenia,"Anush`s B&B está en Tatʼev y dispone de wifi gratis, jardín, salón de uso común y acceso a pie de pista.

En el bed and breakfast, la clientela puede practicar esquí en los alrededores o disfrutar de la terraza solárium.

El aeropuerto (Aeropuerto de Parsabad) está a 219 km, y el alojamiento ofrece servicio de traslado gratis para ir o volver del aeropuerto."
Aspet B&B,US$20,"9,3",Fantástico,68,https://cf.bstatic.com/xdata/images/hotel/max1024x768/268450474.webp?k=20ccb381aadb8c592862d42fceadfe529ec246140755f2ee25088858e0c7cd16&o=,https://www.booking.com/hotel/am/aspet.es.html?aid=2410095,"Servicio de habitaciones, Ruso, Tour o clase sobre cultura local, Terraza, Recepción 24 horas, Jardín, Menú para niños, Zona TV / salón de uso compartido, Zona de pícnic, Servicio de lavandería, Equitación, Registro de entrada / salida privado, Calefacción, WiFi gratis, Barbacoa, Desayuno en la habitación, Servicio de planchado, Servicio de entrega de comestibles, Capilla, Servicio de limpieza diario, Desayuno excepcional, Almuerzos para llevar, Habitaciones familiares, Inglés, Terraza / solárium, Habitaciones sin humo, Cocina compartida, Menús para dietas especiales (bajo petición), Parking gratis, Vino / champán, Tours a pie, Canguro / servicios para niños, Registro de entrada y salida exprés, Servicio de traslado",Hats’avan,Armenia,"Aspet B&B se encuentra en Tatʼev y dispone de jardín, salón de uso común, terraza y wifi gratis en todo el alojamiento. Este alojamiento, que cuenta con habitaciones familiares, también ofrece barbacoa. El alojamiento ofrece cocina compartida y servicio de habitaciones.

El personal de la recepción 24 horas habla inglés y ruso, y siempre está dispuesto a echar una mano.

El aeropuerto más cercano (Aeropuerto de Parsabad) está a 219 km del alojamiento."
AlexMila,US$17,"9,8",Excepcional,4,https://cf.bstatic.com/xdata/images/hotel/max1024x768/488220061.webp?k=f5f133e04691a9e404ae5035fe27c100441e70b0285af2dd5b51fac8980cf66d&o=,https://www.booking.com/hotel/am/alexmila.es.html?aid=2410095,"Tetera / cafetera, Ruso, Baño compartido, Desayuno, Terraza, Jardín, Parking gratis, Hervidor eléctrico, Bañera de hidromasaje / jacuzzi, Habitaciones familiares, Toallas, Tetera/cafetera en todas las habitaciones, Papel higiénico, Vistas, Ropa de cama",Hats’avan,Armenia,"AlexMila se encuentra en Tatʼev y ofrece alojamiento con parking privado gratis.

Algunas unidades también tienen una cocina equipada con nevera.

El bed and breakfast dispone de terraza, además de jardín.

El aeropuerto más cercano (Aeropuerto de Parsabad) está a 219 km del alojamiento."
Armine B&B,US$17,"9,6",Excepcional,51,https://cf.bstatic.com/xdata/images/hotel/max1024x768/151566433.webp?k=20ab1d56dbec6e3cba0245bc620f7683b0609f077909ddbe68d8fd8a86d611b2&o=,https://www.booking.com/hotel/am/armine-b-b.es.html?aid=2410095,"Ruso, Ducha, Desayuno, Terraza, Balcón, Jardín, Senderismo, TV de pantalla plana, Menú para niños, Recepción 24 horas, Acceso a pisos superiores solo mediante escaleras, Zona de pícnic, Fruta, Papel higiénico, Vistas a un lugar de interés, Vistas a un patio interior, Suelo de madera o parquet, Zapatillas, Tetera / cafetera, Secador de pelo, Baño compartido, Vistas a la montaña, Registro de entrada / salida privado, Calefacción, Artículos de aseo gratis, Vistas a la ciudad, Cocina, Zona de comedor exterior, WiFi gratis, Tetera/cafetera en todas las habitaciones, Aseo compartido, Barbacoa, Nevera, Cafetería en el alojamiento, Desayuno en la habitación, Servicio de entrega de comestibles, Zona de fumadores, Capilla, Parking en la calle, Servicio de limpieza diario, Llave de acceso, Almuerzos para llevar, Habitaciones familiares, Toallas, Inglés, Lavadora, Traslado aeropuerto, Utensilios de cocina, Vistas, Terraza / solárium, Mobiliario exterior, Armario, Vistas al jardín, Habitaciones sin humo, Suelo de moqueta, Cocina compartida, Parking gratis, Hervidor eléctrico, Zona de cocina, WC, Vino / champán, Tours a pie, Registro de entrada y salida exprés, Servicio de traslado, Ropa de cama",Hats’avan,Armenia,"Armine B&B tiene vistas a la montaña, se encuentra en Tatʼev y cuenta con restaurante y cocina compartida. Hay wifi gratis en todo el alojamiento.

Cada unidad tiene terraza con vistas a la ciudad, TV de pantalla plana vía satélite, cocina bien equipada y baño compartido con ducha, artículos de aseo gratuitos y secador de pelo. También se ofrece nevera y hervidor.

El bed and breakfast dispone de barbacoa y jardín.

El aeropuerto (Aeropuerto de Parsabad) está a 219 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Alex BnB,US$17,"9,2",Fantástico,24,https://cf.bstatic.com/xdata/images/hotel/max1024x768/373551366.webp?k=68c54582c6960ffa09fbcaf4c5cce9ebd8b8cf3115a7ac6872cd1a947ca093b3&o=,https://www.booking.com/hotel/am/alex-arman.es.html?aid=2410095,"Servicio de habitaciones, Servicio de limpieza en seco, Ruso, Desayuno, Terraza, Jardín, Menú para niños, Fruta, Papel higiénico, Vistas a un patio interior, Servicio de aparcacoches, Vistas a la montaña, Equitación, Registro de entrada / salida privado, Vistas a la ciudad, Cocina, WiFi gratis, Nevera, Zona de comedor, Cafetería en el alojamiento, Desayuno en la habitación, Capilla, Mesa de comedor, Servicio de limpieza diario, Habitaciones familiares, Toallas, Traslado aeropuerto, Vistas, Terraza / solárium, Mobiliario exterior, Vistas al jardín, Habitaciones sin humo, Cocina compartida, Supermercado pequeño en el alojamiento, Parking gratis, Hervidor eléctrico, Vino / champán, Tours a pie, Canguro / servicios para niños, Ropa de cama",Hats’avan,Armenia,"Alex BnB está en Tatʼev y tiene vistas a la montaña, wifi gratis y parking privado gratis.

Algunos alojamientos incluyen una terraza con vistas a la ciudad, zona de cocina totalmente equipada y baño privado con ducha.

También hay un jardín ideal para relajarse.

El aeropuerto más cercano (Aeropuerto de Parsabad) está a 219 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Flamenco Hotel,US$50,"8,7",Fabuloso,66,https://cf.bstatic.com/xdata/images/hotel/max1024x768/230605064.webp?k=495ed35463b899ac127fc49220bde884f029d8f1187dd648832e32d5d5a15602&o=,https://www.booking.com/hotel/am/flamenco.es.html?aid=2410095,"Ruso, Tour o clase sobre cultura local, Fax / fotocopiadora, Desayuno, Personal de animación, Recepción 24 horas, Peluquería / salón de belleza, Karaoke, Cajero automático en el hotel, Seguridad 24 horas, Fruta, Cámaras de seguridad en las zonas comunitarias, Servicio de lavandería, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Extintores, Calefacción, Armenio, WiFi gratis, Cafetería en el alojamiento, Servicio de planchado, Información turística, Servicio de entrega de comestibles, Zona de fumadores, Habitaciones insonorizadas, Eventos deportivos en directo (emisión), Salas de reuniones / banquetes, Bar, Servicio de limpieza diario, Restaurante, Llave de acceso, Almuerzos para llevar, Tours en bici, Habitaciones familiares, Inglés, Plancha para pantalones, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Supermercado pequeño en el alojamiento, Cámaras de seguridad fuera del alojamiento, Vino / champán, Tours a pie, Registro de entrada y salida exprés, Alarma de seguridad",Hats’avan,Armenia,"Flamenco Hotel, que tiene bar, está en Sisian. Este alojamiento ofrece restaurante, recepción 24 horas y cajero automático, además de wifi gratis. Algunas unidades del alojamiento disponen de un balcón con vistas a la ciudad.

En el hotel se sirve todas las mañanas un desayuno continental.

El aeropuerto más cercano (Aeropuerto internacional de Ganja) está a 300 km."
DINA,US$50,"7,0",Bien,1,https://cf.bstatic.com/xdata/images/hotel/max1024x768/179154119.webp?k=04c8c4629e0e715f111aafe584a8763bb84d58bd372ab6e179675efd7ea2b3c2&o=,https://www.booking.com/hotel/am/dina.es.html?aid=2410095,"Servicio de habitaciones, Ruso, Desayuno, Terraza, Balcón, Jardín, Bañera, TV de pantalla plana, Menú para niños, Peluquería / salón de belleza, Recepción 24 horas, WiFi gratis, Barbacoa, Servicio de entrega de comestibles, Servicio de planchado, Servicio de limpieza diario, Piscina, Baño privado, Almuerzos para llevar, Inglés, Traslado aeropuerto, Vistas, Menús para dietas especiales (bajo petición), Máquina expendedora (bebidas), Parking gratis, Supermercado pequeño en el alojamiento",Hats’avan,Armenia,"DINA está en Sisian y tiene jardín, terraza, restaurante y wifi gratis en todo el alojamiento. Hay parking privado gratis y el alojamiento dispone de servicio de traslado de pago para ir o volver del aeropuerto.

En el hotel, cada habitación dispone de balcón, baño privado y TV de pantalla plana.

En la recepción 24 horas se habla inglés y ruso, y el personal siempre está dispuesto a echar una mano.

El aeropuerto (Aeropuerto internacional de Ganja) está a 299 km."
