hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Nightcap at Matthew Flinders Hotel,US$95,"8,0",Muy bien,643,https://cf.bstatic.com/xdata/images/hotel/max1024x768/137424071.webp?k=8313d5301c79e1e661499667457bdcfd485a782a0001107048b4b53864ccb237&o=,https://www.booking.com/hotel/au/matthew-flinders.es.html?aid=2410095,"Prohibido fumar en todo el alojamiento, Cajero automático en el hotel, Plancha para ropa, Baño privado, Bañera o ducha, Artículos de aseo gratis, Calefacción, Cámaras de seguridad fuera del alojamiento, Bar, Zona de fumadores, Enchufe cerca de la cama, Ducha, Discoteca / DJ, Servicio de lavandería, Aire acondicionado, Restaurante, TV de pantalla plana, Música / espectáculos en directo, Eventos deportivos en directo (emisión), Parking gratis, Tarjeta de acceso, Habitaciones sin humo, Parking en la calle, Zona de juegos para niños, Salas de reuniones / banquetes, Inglés, WiFi gratis, Utensilios de planchado, Escritorio, Detectores de humo, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Suelo de moqueta",Springvale,Australia,"Boasting a bar, a children’s playground and a restaurant, Matthew Flinders Hotel is a 5-minute drive from Chadstone Shopping Centre. Guests here enjoy free parking.

Accommodation is air-conditioned and includes a flat-screen TV, ironing facilities and a dining area. The private bathroom has a shower and a toilet.

After a busy day, guests can relax in the Sports Bar and enjoy a drink with friends. The family-friendly bistro is open for lunch and dinner and serves delicious meals including mouth-watering steaks, chicken schnitzel, spaghetti bolognese and tasty fish and chips. There is an on-site club with music on Friday nights.

Matthew Flinders Hotel Chadstone is a 5-minute walk from Holmesglen Station and a 5-minute drive drive from Malvern Private Hospital. Melbourne CBD is a 20-minute drive away, and Melbourne Tullamarine Airport is a 30-minute drive."
Hyatt Place Melbourne Caribbean Park,US$151,"9,0",Fantástico,568,https://cf.bstatic.com/xdata/images/hotel/max1024x768/371024776.webp?k=44d535e085a16933f6d8822843984f74f284f49d5156ba09320e4a435f34f998&o=,https://www.booking.com/hotel/au/hyatt-place-caribbean-park.es.html?aid=2410095,"Guardaequipaje, Supermercado pequeño en el alojamiento, Snack-bar, Seguridad 24 horas, Tetera/cafetera en todas las habitaciones, Toallas, Canales por cable, Servicio de despertador, Apoyo visual: carteles táctiles, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Menú para niños, Baño privado, Servicio de habitaciones, Bañera o ducha, Artículos de aseo gratis, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Bar, Zona de fumadores, Ropa de cama, Enchufe cerca de la cama, Ducha, Calefacción, Reloj despertador, Soporte para iPod, Apoyo visual: braille, Aire acondicionado, Cafetería en el alojamiento, Ascensor, Restaurante, TV de pantalla plana, Registro de entrada / salida privado, Adaptado personas de movilidad reducida, Habitaciones hipoalergénicas, Radio, Muy buen desayuno, Parking gratis, Tarjeta de acceso, Caja fuerte para ordenador portátil, Habitaciones sin humo, Vino / champán, Menús para dietas especiales (bajo petición), Salas de reuniones / banquetes, Inglés, Adaptado para sillas de ruedas, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, WC con barras de apoyo, Parking adaptado para personas de movilidad reducida, Zona TV / salón de uso compartido, Registro de entrada y salida exprés, Escritorio, Detectores de humo, Papel higiénico, Armario, WC, Nevera, TV, Extintores, Secador de pelo, Tetera / cafetera, Sofá, Cámaras de seguridad en las zonas comunitarias, Teléfono, Caja fuerte, Habitaciones familiares, Alarma de seguridad, Gimnasio, Proporciona factura, Recepción 24 horas, Zona de estar",Springvale,Australia,"Hyatt Place Melbourne Caribbean Park dispone de centro de fitness, salón de uso común, restaurante y bar en Scoresby. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo se encuentra a 10 km de Estación de tren de Dandenong.

En el hotel, todas las habitaciones cuentan con aire acondicionado, zona de estar, TV de pantalla plana con canales por cable, caja fuerte y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. En Hyatt Place Melbourne Caribbean Park, cada habitación está equipada con ropa de cama y toallas.

Centro comercial Chadstone está a 15 km del alojamiento, y Victoria Golf Club está a 21 km. El aeropuerto más cercano (Aeropuerto de Essendon Fields) está a 41 km del alojamiento."
Nightcap at Waltzing Matilda Hotel,US$95,"7,5",Bien,417,https://cf.bstatic.com/xdata/images/hotel/max1024x768/184235280.webp?k=7feef20eef1bd3cd0b5c1dc2c9dfdedf8365b119043377e723969ac74961abf1&o=,https://www.booking.com/hotel/au/waltzing-matilda-springvale.es.html?aid=2410095,"Billar, Guardaequipaje, Tetera/cafetera en todas las habitaciones, Toallas, Cajero automático en el hotel, Plancha para ropa, Baño privado, Artículos de aseo gratis, Calefacción, Bar, Ropa de cama, Ducha, Aire acondicionado, Restaurante, TV de pantalla plana, Parking gratis, Habitaciones sin humo, Zona de juegos para niños, Salas de reuniones / banquetes, Inglés, WiFi gratis, Utensilios de planchado, Escritorio, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Secador de pelo, Tetera / cafetera, Habitaciones familiares, Suelo de moqueta, Zona de estar",Springvale,Australia,"El Waltzing Matilda Hotel se encuentra en Springvale y ofrece bar, bistró y sala de juegos infantil. Todas las habitaciones incluyen TV de pantalla plana por cable. Hay aparcamiento gratuito.

El Springvale Waltzing Matilda Hotel se encuentra a 5 minutos en coche del club de golf Spring Vally y del hipódromo de Sandown. El aeropuerto de Melbourne está a 45 minutos en coche.

Las habitaciones disponen de aire acondicionado, escritorio, nevera y set de té y café. Todas las habitaciones incluyen baño privado con ducha y toallas.

El bistró ofrece comida tradicional de estilo pub, como schnitzels, carnes y hamburguesas.

Los huéspedes pueden jugar al billar o ver deportes en directo en una TV de pantalla grande."
Home in Melbourne,US$1.903,ver...,,ver...,https://cf.bstatic.com/xdata/images/hotel/max1024x768/470024336.webp?k=cd03df8c3708c01267d855e79861a2c0a91498ebb8029c095131d80ba7faba3e&o=,https://www.booking.com/hotel/au/home-in-melbourne.es.html?aid=2410095,"Parking gratis, Aire acondicionado, Estación de carga de vehículos eléctricos, Prohibido fumar en todo el alojamiento, Inglés, WiFi gratis, Cocina, Zona de cocina, TV de pantalla plana, Calefacción, Vistas, Lavadora",Springvale,Australia,"Home in Melbourne se encuentra a 10 km de Centro comercial Chadstone y a 13 km de Victoria Golf Club, en Springvale, y ofrece alojamiento con cocina. El alojamiento está a 10 km de Estación de tren de Dandenong y ofrece parking privado en el propio alojamiento y wifi gratis.

Este apartamento de 4 dormitorios ofrece TV de pantalla plana, aire acondicionado y sala de estar.

Jardín botánico de Melbourne está a 23 km del alojamiento, y Santuario de la Memoria está a 24 km. El aeropuerto más cercano (Aeropuerto de Essendon Fields) está a 38 km del alojamiento."
The Mulgrave Motel,US$100,"8,4",Muy bien,276,https://cf.bstatic.com/xdata/images/hotel/max1024x768/493447867.webp?k=98d8f90131889b4e7dd9c96bc8f53d599a1522352a5612d9f9629c1374232ad8&o=,https://www.booking.com/hotel/au/mulgrave-court-motel.es.html?aid=2410095,"Guardaequipaje, Almuerzos para llevar, Seguridad 24 horas, Tetera/cafetera en todas las habitaciones, Desayuno, Toallas, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Menú para niños, Plancha para ropa, Baño privado, Servicio de habitaciones, Perchero, Artículos de aseo gratis, Desayuno en la habitación, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, Zona de fumadores, Calefacción, Servicio de lavandería, Tostadora, Aire acondicionado, Máquina expendedora (aperitivos), TV de pantalla plana, Microondas, Parking gratis, Habitaciones sin humo, Parking en la calle, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Parking adaptado para personas de movilidad reducida, Máquina expendedora (bebidas), Registro de entrada y salida exprés, Detectores de humo, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Servicio de entrega de comestibles, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Jardín, Filipino, Habitaciones familiares, Proporciona factura, Zona de estar",Springvale,Australia,"The Mulgrave Motel está en Mulgrave, a 8,3 km de Centro comercial Chadstone y a 8,7 km de Estación de tren de Dandenong. Este motel de 3 estrellas ofrece jardín y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de servicio de habitaciones y guardaequipaje.

Las unidades están equipadas con nevera, microondas, hervidor, ducha, artículos de aseo gratuitos y armario. Algunas de las habitaciones también ofrecen cocina con lavavajillas, horno y fogones. En el motel, cada habitación cuenta con ropa de cama y toallas.

En The Mulgrave Motel se puede disfrutar de un desayuno continental.

Victoria Golf Club está a 14 km del alojamiento, y Jardín botánico de Melbourne está a 22 km. El aeropuerto más cercano (Aeropuerto de Essendon Fields) está a 35 km."
The Dingley Hotel,US$108,"8,6",Fabuloso,973,https://cf.bstatic.com/xdata/images/hotel/max1024x768/478772440.webp?k=84350f379c1a504de81440a3a4d7afc4a66fccdce30bab5025b71d6a31f9d607&o=,https://www.booking.com/hotel/au/dingley-international-motor-inn.es.html?aid=2410095,"Snack-bar, Toallas, Lavamanos más bajo, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Zona de fumadores, Servicio de lavandería, Spa y centro de bienestar, Proporciona factura, Abierta todo el año, Sombrillas, Restaurante, Eventos deportivos en directo (emisión), Centro de negocios, Servicio de limpieza en seco, Casino, Parking en la calle, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Servicio de limpieza diario, Utensilios de planchado, Happy hour, Acceso a pisos superiores solo mediante escaleras, Papel higiénico, Hervidor eléctrico, WC, TV, Secador de pelo, Alarma de seguridad, Valla alrededor de la piscina, Servicio de despertador, Prohibido fumar en todo el alojamiento, Menú para niños, Vistas, Cámaras de seguridad fuera del alojamiento, Bar, Servicio de despertador / alarma, Aseo adicional, Desayuno fantástico, Aire acondicionado, Juegos de mesa / puzles, Horario de apertura, Canales vía satélite, Escritorio, Nevera, Extintores, Campo de golf (a menos de 3 km), Teléfono, Mobiliario exterior, Recepción 24 horas, Canales por cable, Tumbonas/sillas de playa, Sauna, Desayuno en la habitación, Bañera o ducha, Artículos de aseo gratis, Perchero, Calefacción, Ropa de cama, TV de pantalla plana, Tarjeta de acceso, Vino / champán, Salas de reuniones / banquetes, Adaptado para sillas de ruedas, WiFi gratis, WC con barras de apoyo, Detectores de humo, Armario, Piscina de agua salada, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Servicio de planchado, Habitaciones familiares, Parking adaptado para personas de movilidad reducida, WC elevado, Tetera/cafetera en todas las habitaciones, Plancha para ropa, Enchufe cerca de la cama, Ducha, Reloj despertador, Registro de entrada / salida privado, Adaptado personas de movilidad reducida, Radio, Música / espectáculos en directo, Parking gratis, Inglés, Minibar, Registro de entrada y salida exprés, Piscina al aire libre, Jardín, Gimnasio, Suelo de moqueta, Zona de estar",Springvale,Australia,"El The Dingley Hotel se encuentra cerca de algunos de los mejores lugares de interés naturales de Victoria. El establecimiento se encuentra a solo 700 metros del aeropuerto de Moorabbin y está cerca de famosos campos de golf de arena, zonas comerciales y la hermosa zona de surf y bodegas de la península de Mornington. Cuenta con piscina al aire libre, conexión WiFi gratuita y aparcamiento gratuito.

El The Dingley Hotel ofrece recepción 24 horas, spa, sauna y centro de fitness.

Las habitaciones están reformadas y disponen de aire acondicionado, TV de pantalla plana y baño privado con artículos de aseo gratuitos. Hay servicio de habitaciones y servicio de lavandería.

El The The Dingley Hotel Bistro abre todos los días para el almuerzo y la cena y ofrece un menú a la carta, especialidades semanales, espacios amplios y una zona al aire libre para todo el año. El Sports Bar cuenta con pantalla grande de TV HD y pantalla de proyección grande, por lo que se retransmiten eventos deportivos en directo todos los días. Podrá disfrutar de una comida del menú del bar de deportes o de uno de los platos del día.

El establecimiento tiene capacidad para eventos corporativos y personales, una gama de habitaciones y distribuciones de todo tipo de estilos, así como un equipo de eventos expertos."
Nightcap at Sandown Park Hotel,US$117,"8,3",Muy bien,327,https://cf.bstatic.com/xdata/images/hotel/max1024x768/299508402.webp?k=f1a23888395b0f93a6eb7cb414f6dfd36f1a6c6b002e2b85a2ef77e6fef5032c&o=,https://www.booking.com/hotel/au/nightcap-at-sandown-park-hotel.es.html?aid=2410095,"Snack-bar, Toallas, Cajero automático en el hotel, Baño privado, Calefacción, Zona de fumadores, Bar, Ropa de cama, Ducha, Discoteca / DJ, Aire acondicionado, Restaurante, TV de pantalla plana, Radio, Terraza / solárium, Parking gratis, Habitaciones sin humo, Zona de juegos para niños, Salas de reuniones / banquetes, Inglés, Entretenimiento nocturno, WiFi gratis, Hervidor eléctrico, WC, Nevera, TV, Habitaciones familiares, Suelo de moqueta",Springvale,Australia,"El Nightcap at Sandown Park Hotel se encuentra en Noble Park, a solo 1,9 km del circuito de carreras de Sandown, y alberga un restaurante. Hay aparcamiento gratuito.

Además, el Sandown Park Hotel se halla a 2 minutos en coche del hipódromo de Sandown y a 20 minutos a pie de la estación de tren de Sandown Park. Igloo Zoo está a 23 minutos en coche.

Estas habitaciones cuentan con aire acondicionado, zona de comedor, TV, nevera y set de té/café. El baño incluye ducha.

El Nightcap at Sandown Park Hotel cuenta con zona de comedor al aire libre y zona de juegos infantil. El establecimiento cuenta con personal de animación, discoteca y zona de salón amplia."
PARKROYAL Monash Melbourne,US$136,"8,6",Fabuloso,1.099,https://cf.bstatic.com/xdata/images/hotel/max1024x768/314177442.webp?k=269ba2dc5d143df8a7e1e5aa88a1d8b82eac96f3c6edcd2062aa98703978fc82&o=,https://www.booking.com/hotel/au/parkroyal-monash-melbourne.es.html?aid=2410095,"Seguridad 24 horas, Toallas, Lavamanos más bajo, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Albornoz, Zona de fumadores, Cantonés, Chino, Proporciona factura, Abierta todo el año, Piscina climatizada, Ascensor, Restaurante, Servicio de limpieza en seco, Caja fuerte para ordenador portátil, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Servicio de limpieza diario, Peluquería / salón de belleza, Utensilios de planchado, Información turística, Parking en el alojamiento, Acceso a pisos superiores en ascensor, Papel higiénico, Hervidor eléctrico, WC, TV, Secador de pelo, Parking en un garaje, Servicio de despertador, Prohibido fumar en todo el alojamiento, Menú para niños, Vistas, Cámaras de seguridad fuera del alojamiento, Bar, Servicio de despertador / alarma, Hindi, Aire acondicionado, Indonesio, Muy buen desayuno, Malayo, Escritorio, Árabe, Plancha para pantalones, Nevera, Extintores, Teléfono, Caja fuerte, Recepción 24 horas, Guardaequipaje, Supermercado pequeño en el alojamiento, Tumbonas/sillas de playa, Servicio de conserjería, Desayuno en la habitación, Artículos de aseo gratis, Calefacción, Ropa de cama, Estación de carga de vehículos eléctricos, Cafetería en el alojamiento, Servicio de aparcacoches, TV de pantalla plana, Zapatillas, Tarjeta de acceso, Vino / champán, Salas de reuniones / banquetes, Adaptado para sillas de ruedas, WiFi gratis, WC con barras de apoyo, Detectores de humo, Armario, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Servicio de planchado, Habitaciones insonorizadas, Parking adaptado para personas de movilidad reducida, Fruta, WC elevado, Tetera/cafetera en todas las habitaciones, Alquiler de coches, Plancha para ropa, Ducha, Reloj despertador, Apoyo visual: braille, Adaptado personas de movilidad reducida, Radio, Inglés, Para todas las edades, Cambio de moneda, Registro de entrada y salida exprés, Piscina al aire libre, Gimnasio, Suelo de moqueta",Springvale,Australia,"PARKROYAL Monash Melbourne se encuentra en Clayton North, a 6,6 km de Centro comercial Chadstone, y ofrece servicio de conserjería, habitaciones libres de humo, centro de fitness, wifi gratis y restaurante. Este hotel de 4 estrellas ofrece bar. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y cambio de moneda.

El hotel ofrece habitaciones con aire acondicionado, escritorio, hervidor, nevera, caja fuerte, TV de pantalla plana y baño privado con ducha. En PARKROYAL Monash Melbourne, todas las habitaciones cuentan con ropa de cama y toallas.

El alojamiento ofrece desayuno halal o kosher.

Estación de tren de Dandenong está a 10 km del alojamiento, y Victoria Golf Club está a 13 km. El aeropuerto más cercano (Aeropuerto de Essendon Fields) está a 35 km del alojamiento."
Nightcap at Monash Hotel,US$108,"8,0",Muy bien,544,https://cf.bstatic.com/xdata/images/hotel/max1024x768/256396809.webp?k=6d1a8a461660f30eaac013c198602f95855d6fc900458a1ab299fd7197483d7c&o=,https://www.booking.com/hotel/au/monash.es.html?aid=2410095,"Billar, Tetera/cafetera en todas las habitaciones, Toallas, Cajero automático en el hotel, Plancha para ropa, Baño privado, Toda la unidad en la planta baja, Calefacción, Bar, Ropa de cama, Enchufe cerca de la cama, Ducha, Aire acondicionado, Restaurante, TV de pantalla plana, Parking gratis, Habitaciones sin humo, Zona de juegos para niños, Inglés, WiFi gratis, Papel higiénico, Hervidor eléctrico, WC, Nevera, TV, Secador de pelo, Tetera / cafetera, Habitaciones familiares, Suelo de moqueta, Zona de juegos interior, Parking adaptado para personas de movilidad reducida",Springvale,Australia,"Just 5 minutes’ drive from Monash University, Nightcap at Monash Hotel offers guests a restaurant, a bar and free WiFi. There is also free parking and a children’s playground.

Each air-conditioned room includes a refrigerator and an electric kettle. There is also a flat-screen TV, a radio and ironing facilities. The private bathroom has a hairdryer and a shower.

The on-site restaurant serves delicious food including steaks, fish and chips, chicken parmigiana, beef lasagne and roast of the day. Guests can also enjoy a refreshing drink with friends at the on-site bar.

Nightcap at Monash Hotel Clayton is a 5-minute drive from Clayton Train Station and a 20-minute drive from St Kilda and the Melbourne Cricket Ground. Melbourne city centre is a 25-minute drive and Melbourne Airport is a 40-minute drive."
Sandown Regency Hotel & Apartments,US$65,"5,3",Puntuación,563,https://cf.bstatic.com/xdata/images/hotel/max1024x768/44040219.webp?k=4d791ae6e5417cfb65c2094daf28e39cad32a781e2e2fd28762c6b8d58d8db84&o=,https://www.booking.com/hotel/au/sandown-regency-serviced-apartments.es.html?aid=2410095,"Desayuno, Toallas, Servicio de despertador, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Servicio de habitaciones, Bañera o ducha, Artículos de aseo gratis, Fax / fotocopiadora, Zona de fumadores, Bar, Calefacción, Ropa de cama, Enchufe cerca de la cama, Ducha, Servicio de lavandería, Hindi, Tostadora, Llave de acceso, Aire acondicionado, Proporciona factura, Cafetería en el alojamiento, Adaptado personas de movilidad reducida, Terraza / solárium, Parking gratis, Valla alrededor de la piscina, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Salas de reuniones / banquetes, Buffet para niños, Inglés, Adaptado para sillas de ruedas, WiFi gratis, Utensilios de planchado, Balcón, De temporada, Zona poco profunda, Para todas las edades, Servicio de limpieza diario, WC con barras de apoyo, Registro de entrada y salida exprés, Detectores de humo, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, TV, Entrada privada, Piscina al aire libre, Extintores, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Jardín, Teléfono, Habitaciones familiares, Alarma de seguridad, Suelo de moqueta, Mobiliario exterior, Parking adaptado para personas de movilidad reducida",Springvale,Australia,"El Sandown Regency & Serviced Apartments se encuentra a 1 km de la estación de tren de Noble Park y ofrece habitaciones con un balcón con vistas a la piscina al aire libre y al jardín. Algunas habitaciones incluyen bañera de hidromasaje.

Las habitaciones y apartamentos del Sandown Regency están equipadas con aire acondicionado, conexión Wi-Fi y TV por cable.

El restaurante Pastels in the Garden sirve un menú de temporada, con vistas al jardín. En la zona de salón podrá degustar aperitivos ligeros, bebidas y cócteles.

El Sandown Regency Apartments está a solo 20 minutos en coche de los baños de St Kilda, del casino Crowne y del estadio polivalente Melbourne Cricket Ground. Hay aparcamiento gratuito en el establecimiento."
Nightcap at Keysborough Hotel,US$110,"7,8",Bien,337,https://cf.bstatic.com/xdata/images/hotel/max1024x768/153863797.webp?k=9c3c8b7afb427aa200f643d48f504d62ed2851fe8eb5803ec2e066906d4be066&o=,https://www.booking.com/hotel/au/keysborough.es.html?aid=2410095,"Billar, Seguridad 24 horas, Tetera/cafetera en todas las habitaciones, Toallas, Prohibido fumar en todo el alojamiento, Zona de juegos interior, Menú para niños, Cajero automático en el hotel, Baño privado, Plancha para ropa, Bañera o ducha, Artículos de aseo gratis, Calefacción, Cámaras de seguridad fuera del alojamiento, Bar, Zona de fumadores, Ropa de cama, Enchufe cerca de la cama, Ducha, Toda la unidad en la planta baja, Llave de acceso, Aire acondicionado, Restaurante, TV de pantalla plana, Música / espectáculos en directo, Eventos deportivos en directo (emisión), Parking gratis, Tarjeta de acceso, Parking en la calle, Zona de juegos para niños, Vino / champán, Inglés, WiFi gratis, Servicio de limpieza diario, Escritorio, Detectores de humo, Acceso a pisos superiores solo mediante escaleras, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Suelo de moqueta, Mobiliario exterior, Zona de estar",Springvale,Australia,"Just a 12-minute drive from Beaumaris Bay, Keysborough Hotel offers a children’s playground and an onsite bar and restaurant. All guest rooms offer a flat-screen TV, a fridge and a coffee machine.

Keysborough Hotel is a 5-minute drive from both Dandenong town centre and Southern Golf Club. Royal Melbourne Golf Club is a 17-minute drive away and Melbourne CBD is a 30-minute drive.

All air-conditioned rooms offer tea and coffee making facilities. They have an en suite bathroom with a shower, toilet and free towels.

The restaurant is open daily for lunch and dinner."
Two separate rooms in Clayton South,US$43,"7,9",Bien,20,https://cf.bstatic.com/xdata/images/hotel/max1024x768/491018716.webp?k=452d579be7e37de1ce0db9ae1d2d4fdb11bac6fef7b8c0031d323da98b9553cf&o=,https://www.booking.com/hotel/au/clarevale-house.es.html?aid=2410095,"Toallas, Prohibido fumar en todo el alojamiento, Plancha para ropa, Bañera o ducha, Artículos de aseo gratis, Vistas, Cocina, Cocina compartida, Perchero, Ropa de cama, Zona de fumadores, Ducha, Calefacción, Ventilador, Productos de limpieza, Tostadora, Aseo compartido, Aire acondicionado, Registro de entrada / salida privado, Microondas, Zona de comedor, Tendedero, Utensilios de cocina, Parking gratis, Fogones, Habitaciones sin humo, Inglés, WiFi gratis, Utensilios de planchado, Lavadora, Escritorio, Registro de entrada y salida exprés, Detectores de humo, Papel higiénico, Baño compartido, WC, Armario, Vistas al jardín, Hervidor eléctrico, Nevera, Extintores, Secador de pelo, Jardín, Bañera, Horno, Mobiliario exterior",Springvale,Australia,"Two separate rooms in Clayton South se encuentra en Clayton North, en la región de Victoria, y ofrece alojamiento con wifi gratis y parking privado gratis.

Las unidades tienen vistas al jardín y cuentan con lavadora, cocina totalmente equipada con nevera y baño compartido con artículos de aseo gratuitos y secador de pelo. También se ofrece horno, microondas y fogones, además de hervidor.

Se puede disfrutar de un momento de relax en el jardín del alojamiento.

Centro comercial Chadstone está a 7,8 km del alojamiento, y Victoria Golf Club está a 10 km. El aeropuerto más cercano (Aeropuerto de Essendon Fields) está a 34 km."
A cozy place,US$66,"7,3",Bien,4,https://cf.bstatic.com/xdata/images/hotel/max1024x768/489445912.webp?k=79e59db4c314bc65f79f6ff66b67b176a33bdf1cb4fc19c8513477e60fcb9b13&o=,https://www.booking.com/hotel/au/comfortable-and-convenient.es.html?aid=2410095,"Toallas, Secadora de ropa, Prohibido fumar en todo el alojamiento, Plancha para ropa, Toallas / sábanas (por un suplemento), Zona de cocina, Cámaras de seguridad fuera del alojamiento, Mesa de comedor, Ropa de cama, Ducha, Productos de limpieza, Aseo compartido, Suelo de madera o parquet, Aire acondicionado, TV de pantalla plana, Microondas, Zona de comedor, Adosado, Zapatillas, Utensilios de cocina, Parking gratis, Fogones, Habitaciones sin humo, Cafetera, Inglés, WiFi gratis, Utensilios de planchado, Lavadora, Escritorio, Detectores de humo, Papel higiénico, Baño compartido, Armario, Hervidor eléctrico, Nevera, TV, Secador de pelo, Sofá, Jardín, Horno, Lavavajillas, Zona de estar",Springvale,Australia,"A cozy place está en Noble Park, a 5,2 km de Estación de tren de Dandenong y a 12 km de Victoria Golf Club, y ofrece wifi gratis, jardín y aire acondicionado. Esta habitación en casa particular está a 13 km de Centro comercial Chadstone y a 26 km de Jardín botánico de Melbourne.

La habitación en casa particular cuenta con TV de pantalla plana. La zona de cocina dispone de nevera, lavavajillas y horno, y hay ducha, secador de pelo y zapatillas.

Santuario de la Memoria está a 27 km del alojamiento, y Estadio Rod Laver está a 27 km. El aeropuerto (Aeropuerto de Essendon Fields) está a 39 km."
Sandown Heritage Motel,US$85,"7,4",Bien,151,https://cf.bstatic.com/xdata/images/hotel/max1024x768/127524284.webp?k=3fa067dfe51103f19dda5567857418f2b9b95a10bd09365f8b3c5230d3100f89&o=,https://www.booking.com/hotel/au/best-western-sandownheritage-motel.es.html?aid=2410095,"Tetera/cafetera en todas las habitaciones, Desayuno, Secadora de ropa, Servicio de despertador, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Desayuno en la habitación, Bañera o ducha, Artículos de aseo gratis, Perchero, Fax / fotocopiadora, Calefacción, Ducha, Servicio de lavandería, Chino, Tostadora, Aire acondicionado, TV de pantalla plana, Microondas, Parking gratis, Habitaciones sin humo, Inglés, WiFi gratis, Utensilios de planchado, Minibar, Papel higiénico, Armario, WC, Hervidor eléctrico, Piscina al aire libre, Secador de pelo, Tetera / cafetera, Jardín, Caja fuerte, Suelo de moqueta, Zona de estar",Springvale,Australia,"Este motel ofrece habitaciones tranquilas y amplias en la planta baja con conexión Wi-Fi gratuita, calefacción y aire acondicionado. Dispone de piscina climatizada, servicio de lavandería y aparcamiento gratuito en la calle.

El Sandown Heritage Motel se encuentra en la carretera Princes, a solo 30 minutos en coche del centro de Melbourne. Se encuentra a solo 30 minutos en coche de los hermosos montes Dandenong.

Todas las habitaciones disponen de TV LCD, reproductor de DVD, mantas eléctricas y minibar. También incluye microondas y set de té/café. Algunas suites tienen bañera de hidromasaje doble en el dormitorio principal."
