hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Waratah,US$124,"8,5",Muy bien,62,https://cf.bstatic.com/xdata/images/hotel/max1024x768/274592772.webp?k=68ffcbe03b8ba8869c0caaa89c7a81b9112ee0979a3c9e02b99e3c919b0bf825&o=,https://www.booking.com/hotel/au/waratah-centennial-park.es.html?aid=2410095,"Secadora de ropa, Toallas, Prohibido fumar en todo el alojamiento, Senderismo, Plancha para ropa, Baño privado, Toda la unidad en la planta baja, Servicio de entrega de comestibles, Cocina, Zona de fumadores, Calefacción, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, Productos de limpieza, Tostadora, Aire acondicionado, Proporciona factura, TV de pantalla plana, Registro de entrada / salida privado, Microondas, Zona de comedor, Adosado, Utensilios de cocina, Parking gratis, Fogones, Zona de juegos para niños, Inglés, WiFi gratis, Lavadora, Escritorio, Detectores de humo, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, TV, Extintores, Secador de pelo, Tetera / cafetera, Sofá, Jardín, Horno, Zona de pícnic, Suelo de moqueta, Parking en un garaje",Albany,Australia,"Waratah está en Albany, en la región de Australia Occidental, a 4,9 km de National Anzac Centre. Ofrece alojamiento con wifi gratis, zona de juegos infantil, jardín y parking privado gratis.

El alojamiento tiene aire acondicionado, cocina totalmente equipada y con zona de comedor, TV de pantalla plana y baño privado con ducha y secador de pelo. También hay nevera, horno y microondas, además de hervidor.

Se puede practicar senderismo en los alrededores.

Albany Entertainment Centre está a 2,9 km del alojamiento, y Albany Waterfront Marina está a 2,9 km. El aeropuerto más cercano (Aeropuerto regional de Albany) está a 10 km."
"Hilton Garden Inn Albany, WA",US$144,"8,3",Muy bien,1.452,https://cf.bstatic.com/xdata/images/hotel/max1024x768/483811202.webp?k=665e5e77fac27a20ff0e53f5d837e1436a871a84b6e82e899f7f8456bb6930ba&o=,https://www.booking.com/hotel/au/hilton-garden-inn-albany-wa.es.html?aid=2410095,"Guardaequipaje, Supermercado pequeño en el alojamiento, Snack-bar, Almuerzos para llevar, Seguridad 24 horas, Tetera/cafetera en todas las habitaciones, Toallas, Servicio de despertador, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Menú para niños, Plancha para ropa, Baño privado, Fax / fotocopiadora, Artículos de aseo gratis, Calefacción, Cámaras de seguridad fuera del alojamiento, Bar, Zona de fumadores, Ropa de cama, Enchufe cerca de la cama, Ducha, Servicio de lavandería, Aire acondicionado, Ascensor, Restaurante, TV de pantalla plana, Música / espectáculos en directo, Muy buen desayuno, Utensilios de cocina, Parking gratis, Tarjeta de acceso, Caja fuerte para ordenador portátil, Español, Habitaciones sin humo, Vino / champán, Salas de reuniones / banquetes, Buffet para niños, Inglés, Holandés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Información turística, Registro de entrada y salida exprés, Escritorio, Detectores de humo, Acceso a pisos superiores en ascensor, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Caja fuerte, Teléfono, Alarma de seguridad, Gimnasio, Proporciona factura, Recepción 24 horas, Parking adaptado para personas de movilidad reducida",Albany,Australia,"Hilton Garden Inn Albany, WA es un alojamiento de 4 estrellas que está en Albany, a 3 km de National Anzac Centre, y que tiene centro de fitness, restaurante y bar. El alojamiento se encuentra a pocos pasos de Albany Entertainment Centre, a 5 min a pie de Albany Waterfront Marina y a 11 km de Puerto deportivo Princess Royal Sailing Club. El hotel libre de humo dispone de wifi gratis en todo el alojamiento.

El hotel ofrece habitaciones con aire acondicionado, escritorio, hervidor, nevera, caja fuerte, TV de pantalla plana y baño privado con ducha. En Hilton Garden Inn Albany, WA, cada habitación dispone de ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet, a la carta o continental.

En la recepción 24 horas se habla inglés, español y holandés, y el personal siempre está dispuesto a echar una mano.

El aeropuerto (Aeropuerto regional de Albany) está a 11 km."
SureStay Hotel by Best Western The Clarence on Melville,US$97,"7,7",Bien,1.818,https://cf.bstatic.com/xdata/images/hotel/max1024x768/331257134.webp?k=41ff385ae2d8431a6f568fc5f5fb27c8274668bd8fe4066182733f184126d03b&o=,https://www.booking.com/hotel/au/comfort-iinn-albany.es.html?aid=2410095,"Guardaequipaje, Seguridad 24 horas, Toallas, Habitaciones insonorizadas, Suelo de moqueta, Plancha para ropa, Baño privado, Toda la unidad en la planta baja, Bañera o ducha, Artículos de aseo gratis, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Calefacción, Ropa de cama, Enchufe cerca de la cama, Ducha, Tostadora, Llave de acceso, Aire acondicionado, TV de pantalla plana, Registro de entrada / salida privado, Adaptado personas de movilidad reducida, Parking gratis, Alemán, Habitaciones sin humo, Inglés, Adaptado para sillas de ruedas, WiFi gratis, Utensilios de planchado, WC con barras de apoyo, Parking adaptado para personas de movilidad reducida, Información turística, Minibar, Registro de entrada y salida exprés, Detectores de humo, Insonorización, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Entrada privada, Secador de pelo, Cámaras de seguridad en las zonas comunitarias, Jardín, Teléfono, Habitaciones familiares, Alarma de seguridad, Proporciona factura, Zona de estar",Albany,Australia,"SureStay Hotel by Best Western The Clarence on Melville features spacious rooms with modern facilities.It's a 3-minute drive from Albany town centre.

All rooms at SureStay Hotel by Best Western The Clarence on Melville provide both heating and air conditioning, plus a private en suite bathroom. Tea/coffee making facilities and a minibar are also included.

Laundry facilities and dry cleaning services are available at SureStay Hotel by Best Western The Clarence on Melville. All rooms are non-smoking and free car parking is provided."
Country Comfort Amity Motel,US$101,"8,1",Muy bien,1.223,https://cf.bstatic.com/xdata/images/hotel/max1024x768/95513813.webp?k=e0495b08afc6291464fde64626a03fe69ac937a53efe0550230ab85e74e693b4&o=,https://www.booking.com/hotel/au/amity-motor-inn.es.html?aid=2410095,"Billar, Toallas, Lavamanos más bajo, Baño privado, Fax / fotocopiadora, Zona de fumadores, Servicio de lavandería, Toallas de playa/piscina, Proporciona factura, Sombrillas, Restaurante, 3 restaurantes, Alemán, Habitaciones sin humo, Francés, Servicio de limpieza diario, Utensilios de planchado, Información turística, Ping pong, Papel higiénico, Hervidor eléctrico, WC, Entrada privada, TV, Secador de pelo, Alarma de seguridad, Valla alrededor de la piscina, Cámaras de seguridad fuera del alojamiento, Bar, Servicio de despertador / alarma, Tostadora, Aire acondicionado, Juegos de mesa / puzles, Horario de apertura, Microondas, Nevera, Extintores, Teléfono, Mobiliario exterior, Almuerzos para llevar, Tumbonas/sillas de playa, Bañera o ducha, Artículos de aseo gratis, Perchero, Calefacción, Cocina compartida, Ropa de cama, Sala de juegos, Estación de carga de vehículos eléctricos, TV de pantalla plana, Barbacoa, Utensilios de cocina, Adaptado para sillas de ruedas, WiFi gratis, WC con barras de apoyo, Zona TV / salón de uso compartido, Armario, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Parking adaptado para personas de movilidad reducida, WC elevado, Plancha para ropa, Enchufe cerca de la cama, Ducha, Reloj despertador, Llave de acceso, Registro de entrada / salida privado, Adaptado personas de movilidad reducida, Radio, Parking gratis, Inglés, De temporada, Zona poco profunda, Para todas las edades, Piscina al aire libre, Gimnasio, Suelo de moqueta, Zona de estar",Albany,Australia,"Just 5 minutes’ drive from Mount Melville Parklands, Country Comfort Amity Motel offers air-conditioned accommodation with free WiFi. It features an outdoor swimming pool, gym, communal kitchen, games, a restaurant and BBQ facilities.

Country Comfort Amity is located in the heart of Albany, 5 minutes’ drive from Albany Sports Complex. Albany Airport is a 10-minute drive away.

All rooms include a refrigerator and tea/coffee making facilities. Each room has a private en suite bathroom with a shower and guest toiletries.

Guests can play a game of billiards or table tennis in the games room. The tour desk can recommend local attractions and help guests with travel arrangements. A cooked breakfast ""À la carte"" menu is available Monday - Saturday, while only continental breakfast is available on Sundays.

The Curry House - Taste of India restaurant specialises in Indian cuisine, and offers an extensive wine and beer menu. Alternatively, there are a number of restaurants within a 5-minute drive."
Six Degrees Boutique Hotel,US$53,"7,2",Bien,1.301,https://cf.bstatic.com/xdata/images/hotel/max1024x768/68281382.webp?k=bac0ba6551483de0660dd86bb3884861e11f91efb433471c11e61fc141523ba7&o=,https://www.booking.com/hotel/au/george-on-the-terrace.es.html?aid=2410095,"Guardaequipaje, Toallas, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Menú para niños, Calefacción, Cámaras de seguridad fuera del alojamiento, Bar, Zona de fumadores, Ropa de cama, Enchufe cerca de la cama, Ventilador, Discoteca / DJ, Llave de acceso, Aseo compartido, Cafetería en el alojamiento, Restaurante, TV de pantalla plana, Música / espectáculos en directo, Eventos deportivos en directo (emisión), Parking gratis, Tarjeta de acceso, Habitaciones sin humo, Parking en la calle, Vino / champán, Chimenea exterior, Menús para dietas especiales (bajo petición), Inglés, Entretenimiento nocturno, WiFi gratis, Utensilios de planchado, Detectores de humo, Acceso a pisos superiores solo mediante escaleras, Baño compartido, Nevera, TV, Extintores, Cámaras de seguridad en las zonas comunitarias, Jardín, Habitaciones familiares, Alarma de seguridad, Proporciona factura, Mobiliario exterior, Parking adaptado para personas de movilidad reducida",Albany,Australia,"El Six Degrees Boutique Hotel, declarado Patrimonio de la Humanidad, se encuentra en el centro de Albany, rodeado de restaurantes y tiendas, y ofrece bar, aparcamiento gratuito y conexión WiFi gratuita. Se encuentra a 5 minutos a pie del centro de ocio Albany. Algunas habitaciones ofrecen vistas al puerto y al centro de ocio.

El Six Degrees Boutique Hotel está situado en el corazón de la terraza Stirling, a 4 minutos en coche del centro nacional de Anzac y a 7 minutos en coche de la playa de Middleton. Emu Point se encuentra a 10 minutos en coche.

Todas las habitaciones incluyen TV de pantalla plana. Algunas incluyen microondas y set de té y café.

El Six Degrees Boutique Hotel, inaugurado en 2016, ofrece tapas, hamburguesas gourmet y café local. Hay música en directo de viernes a domingo. El restaurante Six Degrees y el bar principal de deportes abren todos los días a partir de las 11:30."
Six Degrees Motel,US$120,"7,8",Bien,716,https://cf.bstatic.com/xdata/images/hotel/max1024x768/161687762.webp?k=71562cfc900e4e178812cfc10924cba247a27dd2fc1af1bee4fd6905c8e2b16a&o=,https://www.booking.com/hotel/au/six-degrees-motel.es.html?aid=2410095,"Tetera/cafetera en todas las habitaciones, Toallas, Prohibido fumar en todo el alojamiento, Menú para niños, Baño privado, Artículos de aseo gratis, Calefacción, Zona de cocina, Bar, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Zona de fumadores, Ducha, Discoteca / DJ, Tostadora, Llave de acceso, Aire acondicionado, Cafetería en el alojamiento, Restaurante, TV de pantalla plana, Microondas, Música / espectáculos en directo, Eventos deportivos en directo (emisión), Parking gratis, Habitaciones sin humo, Parking en la calle, Vino / champán, Menús para dietas especiales (bajo petición), Salas de reuniones / banquetes, Inglés, Entretenimiento nocturno, WiFi gratis, Happy hour, Escritorio, Detectores de humo, Armario, Hervidor eléctrico, WC, Nevera, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Jardín, Habitaciones familiares, Alarma de seguridad, Suelo de moqueta, Parking adaptado para personas de movilidad reducida",Albany,Australia,"Six Degrees Motel está en Albany, a 2,6 km de National Anzac Centre, y dispone de alojamiento con jardín, parking privado gratis, restaurante y bar. El alojamiento se encuentra a 7 min a pie de Albany Entertainment Centre, a 1,1 km de Albany Waterfront Marina y a 11 km de Puerto deportivo Princess Royal Sailing Club. El alojamiento ofrece discoteca y wifi gratis.

Todas las habitaciones están equipadas con aire acondicionado, nevera, microondas, hervidor, ducha, artículos de aseo gratuitos y escritorio. En el motel, cada habitación dispone de baño privado y ropa de cama.

El aeropuerto (Aeropuerto regional de Albany) está a 11 km."
1849 Backpackers Albany,US$31,"6,4",Puntuación,412,https://cf.bstatic.com/xdata/images/hotel/max1024x768/74479575.webp?k=70ef27f53e9237231bc916e326fe4cf31380f4b5b5c88be609d4ab571946d9d1&o=,https://www.booking.com/hotel/au/1849-backpackers-albany.es.html?aid=2410095,"Billar, Snack-bar, Seguridad 24 horas, Senderismo, Snorkel, Fax / fotocopiadora, Zona de fumadores, Discoteca / DJ, Servicio de lavandería, Eventos deportivos en directo (emisión), Servicio de limpieza en seco, Alemán, Habitaciones sin humo, Chimenea exterior, Francés, Noches de cine, Italiano, Información turística, Ping pong, Máquina expendedora (bebidas), WC, Secador de pelo, Submarinismo, Zona de pícnic, Equipamiento de juegos para exterior, Prohibido fumar en todo el alojamiento, Servicio de entrega de comestibles, Cámaras de seguridad fuera del alojamiento, Juegos de mesa / puzles, Máquina expendedora (aperitivos), Terraza, Pesca, Equipamiento de tenis, Ciclismo, Playa, Tour o clase sobre cultura local, Extintores, Campo de golf (a menos de 3 km), Dardos, Caja fuerte, Mobiliario exterior, Recepción 24 horas, Guardaequipaje, Supermercado pequeño en el alojamiento, Almuerzos para llevar, Servicio de conserjería, Calefacción, Cocina compartida, Sala de juegos, Servicio de aparcacoches, Alquiler de bicicletas, Irlandés, Terraza / solárium, Barbacoa, Salas de reuniones / banquetes, WiFi gratis, Zona TV / salón de uso compartido, Detectores de humo, Equipamiento de bádminton, Baño compartido, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Servicio de planchado, Servicio de traslado, Bañera, Zona de juegos interior, Parking adaptado para personas de movilidad reducida, Cesta para mascotas, Alquiler de coches, Ducha, Llave de acceso, Música / espectáculos en directo, Parking gratis, Boles para mascotas, Inglés, Entretenimiento nocturno, Tours a pie, Cambio de moneda, Jardín, Gimnasio, Proporciona factura, Desayuno fabuloso",Albany,Australia,"El restaurante ha recibido el certificado de excelencia y salón de la fama de tripadvisor de 2013 a 2013. El 1849 Backpackers Albany está situado en el centro de Albany y goza de vistas al puerto Princess Royal y al parque Anzac Peace. El establecimiento ofrece conexión WiFi gratuita ilimitada y un salón amplio con TV por cable con canales de deportes y películas.

Las habitaciones del Albany 1849 Backpackers Hotel tienen acceso a un baño compartido y servicio de lavandería.


El establecimiento alberga 1 cocina comercial. El establecimiento cuenta con solárium, jardines con zona de barbacoa, sala de juegos, campo de fútbol de césped y pista de voleibol. Los huéspedes pueden hacer uso de un escenario de teatro de calle cubierto con iluminación e instrumentos musicales.

El 1849 Backpackers Albany está a pocos pasos de las tiendas, restaurantes, cafeterías y pubs del centro de la ciudad. El monte Clarence y el monte Melville están a 5 minutos en coche. Hay aparcamiento gratuito."
Dog Rock Motel,US$149,"8,2",Muy bien,1.962,https://cf.bstatic.com/xdata/images/hotel/max1024x768/504840232.webp?k=f97d1a54e24820152882501d9ebb89b9431c8530fe84a1bf1e06c32df31c07b9&o=,https://www.booking.com/hotel/au/dog-rock-motel.es.html?aid=2410095,"Guardaequipaje, Almuerzos para llevar, Seguridad 24 horas, Tetera/cafetera en todas las habitaciones, Toallas, Servicio de despertador, Plancha para ropa, Baño privado, Servicio de habitaciones, Bañera o ducha, Artículos de aseo gratis, Fax / fotocopiadora, Calefacción, Bar, Toda la unidad en la planta baja, Ropa de cama, Ducha, Servicio de lavandería, Reloj despertador, Llave de acceso, Aire acondicionado, Restaurante, TV de pantalla plana, Radio, Muy buen desayuno, Centro de negocios, Parking gratis, Habitaciones sin humo, Canales vía satélite, Salas de reuniones / banquetes, Inglés, WiFi gratis, Utensilios de planchado, Tours a pie, Tour o clase sobre cultura local, Escritorio, Papel higiénico, Hervidor eléctrico, WC, Nevera, TV, Extintores, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Teléfono, Habitaciones familiares",Albany,Australia,"Just 5 minutes’ drive from Middleton Beach, Dog Rock offers rooms with free Wi-Fi, satellite TV and free in-house movies. It features a business centre and a multiple award-winning restaurant and bar.

Dog Rock Motel is 7 minutes' walk from Albany's town centre and 7 minutes' drive from the beautiful Lake Seppings. Albany Airport is 15 minutes' drive away.

All air-conditioned rooms at Dog Rock Albany have a work desk or table and tea/coffee making facilities. Most rooms have a minibar, and some also have a private balcony with city views.

Lime 303 offers a varied menu that includes modern Australian cuisine and an array of seafood dishes featuring fresh sourced local fish. A wide selection of local wines and craft beers are available to enjoy in the wine lounge from 4.30 pm daily. A continental breakfast is available."
Quality Apartments Banksia Albany,US$150,"8,7",Fabuloso,817,https://cf.bstatic.com/xdata/images/hotel/max1024x768/447368771.webp?k=05e5399884f893bdd1cd64e682d3b217de7c459f939c15b57b3b67167116797c&o=,https://www.booking.com/hotel/au/banksia-gardens-resort-motel.es.html?aid=2410095,"Seguridad 24 horas, Toallas, Senderismo, Lavamanos más bajo, Baño privado, Servicio de habitaciones, Toda la unidad en la planta baja, Fax / fotocopiadora, Servicio de lavandería, Restaurante, Zona de comedor, Centro de negocios, Servicio de limpieza en seco, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Utensilios de planchado, Información turística, Happy hour, Papel higiénico, Hervidor eléctrico, WC, Entrada privada, TV, Secador de pelo, Sofá, Alarma de seguridad, Zona de pícnic, Equipamiento de juegos para exterior, Parking en un garaje, Canales de pago, Servicio de despertador, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Menú para niños, Cámaras de seguridad fuera del alojamiento, Bar, Mesa de comedor, Tostadora, Aire acondicionado, Microondas, Pesca, Adosado, Muy buen desayuno, Zona de juegos para niños, Canales vía satélite, Nevera, Extintores, Campo de golf (a menos de 3 km), Teléfono, Mobiliario exterior, Almuerzos para llevar, Canales por cable, Servicio de conserjería, Desayuno en la habitación, Bañera o ducha, Artículos de aseo gratis, Perchero, Calefacción, Ropa de cama, TV de pantalla plana, Utensilios de cocina, Barbacoa, Vino / champán, Adaptado para sillas de ruedas, WiFi gratis, WC con barras de apoyo, Detectores de humo, Armario, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Servicio de planchado, Servicio de traslado, Fruta, Parking adaptado para personas de movilidad reducida, WC elevado, Alquiler de coches, Plancha para ropa, Enchufe cerca de la cama, Ducha, Adaptado personas de movilidad reducida, Barandillas protectoras para bebés, Tendedero, Parking gratis, Inglés, Minibar, Registro de entrada y salida exprés, Vistas al jardín, Jardín, Proporciona factura, Zona de estar",Albany,Australia,"Just 1 minutes' drive from Albany city centre, Quality Apartments Banksia Albany features free WiFi and free parking. It offers air-conditioned apartments with cooking facilities and a flat-screen TV with satellite channels.

All apartments feature a lounge and dining area with a leather sofa. Each has a kitchen or kitchenette with a microwave, a refrigerator and a toaster. Most apartments feature a 2-person spa bath. Some apartments also contain an internal laundry. BBQ facilities are provided.

Quality Apartments Banksia Albany is a 10-minute drive from Middleton Beach, Albany Airport and Albany Golf Club. It is a 5-minute drive from Vancouver Arts Centre and Albany Sports Complex."
Cosy Corner Sea View Apartments,US$457,"8,8",Fabuloso,417,https://cf.bstatic.com/xdata/images/hotel/max1024x768/270106854.webp?k=ffc8bcc508b3845a7fc213f4511cc7bac35c6c35d0c0a286a22a4b53880b779b&o=,https://www.booking.com/hotel/au/torbay-holiday-apartments.es.html?aid=2410095,"Toallas, Mantas eléctricas, Senderismo, Snorkel, Baño privado, Albornoz, Proporciona factura, Camas extralargas (más de 2 metros), Zona de comedor, Fogones, Habitaciones sin humo, Cafetera, Utensilios de planchado, Acceso a pisos superiores solo mediante escaleras, Papel higiénico, Hervidor eléctrico, WC, Entrada privada, TV, Zona de comedor exterior, Secador de pelo, Sofá, Parking en un garaje, Prohibido fumar en todo el alojamiento, Bañera de hidromasaje, Vistas, Cámaras de seguridad fuera del alojamiento, Mesa de comedor, Servicio de despertador / alarma, Aseo adicional, Tostadora, Aseo compartido, Aire acondicionado, Terraza, Microondas, Pesca, Playa, Apartamento privado en edificio, Balcón, Insonorización, Nevera, Vistas al mar, Horno, Secadora de ropa, Vestidor, Bañera de hidromasaje / jacuzzi, Bañera o ducha, Artículos de aseo gratis, Perchero, Calefacción, Windsurf, Ropa de cama, Muebles de exterior, Reproductor de DVD, Reproductor de CD, TV de pantalla plana, Trona, Utensilios de cocina, Barbacoa, WiFi gratis, Suelo de baldosa / mármol, Lavadora, Detectores de humo, Armario, Hipoalergénico, Tetera / cafetera, Habitaciones familiares, Bañera, Lavavajillas, Parking adaptado para personas de movilidad reducida, Plancha para ropa, Cocina, Vídeo, Ducha, Enchufe cerca de la cama, Reloj despertador, Patio, Productos de limpieza, Llave de acceso, Registro de entrada / salida privado, Radio, Tendedero, Parking gratis, Inglés, Vistas al jardín, Jardín, Suelo de moqueta, Zona de estar",Albany,Australia,"El Cosy Corner Sea View Apartments está situado entre Albany y Dinamarca, a 15 minutos a pie de la playa, y ofrece apartamentos modernos con balcón privado con vistas espectaculares al mar. Todos los apartamentos se encuentran en Torbay y cuentan con zona de barbacoa privada y spa la mayoría de los dormitorios principales. Hay conexión WiFi gratuita.


Todos los alojamientos del Cosy Corner Sea View Apartments incluyen calefacción, aire acondicionado, cocina completa y lavadora. Todas tienen baño con albornoces y secador de pelo.

El Cosy Corner Sea View Apartments está rodeado de paisajes naturales y se encuentra a poca distancia a pie del océano en la playa de Cosy Corner y a 10 minutos en coche del parque nacional de West Cape."
Ace Accommodation Albany,US$99,"8,2",Muy bien,2.038,https://cf.bstatic.com/xdata/images/hotel/max1024x768/98493365.webp?k=b76d5499574e6c140dc722321c7edce26a490870be82d7d6e4c5252c2a342c80&o=,https://www.booking.com/hotel/au/ace-motor-inn.es.html?aid=2410095,"Guardaequipaje, Almuerzos para llevar, Tetera/cafetera en todas las habitaciones, Toallas, Canales por cable, Suelo de moqueta, Menú para niños, Plancha para ropa, Baño privado, Servicio de habitaciones, Bañera o ducha, Artículos de aseo gratis, Perchero, Fax / fotocopiadora, Bar, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, Servicio de despertador / alarma, Calefacción, Servicio de lavandería, Reloj despertador, Toda la unidad en la planta baja, Aire acondicionado, Restaurante, TV de pantalla plana, Adaptado personas de movilidad reducida, Radio, Muy buen desayuno, Parking gratis, Habitaciones sin humo, Vino / champán, Canales vía satélite, Menús para dietas especiales (bajo petición), Inglés, Adaptado para sillas de ruedas, WiFi gratis, Utensilios de planchado, Parking adaptado para personas de movilidad reducida, Zona TV / salón de uso compartido, Escritorio, Detectores de humo, Papel higiénico, Armario, WC, Vistas al jardín, Hervidor eléctrico, Nevera, TV, Secador de pelo, Tetera / cafetera, Campo de golf (a menos de 3 km), Jardín, Teléfono, Habitaciones familiares, Proporciona factura, Zona de estar",Albany,Australia,"Ace Accommodation Albany is conveniently  located 1.5 km from central Albany. It is surrounded by gardens and is a short drive from Middleton Beach. There is free parking and free Wi-Fi.

Rooms at the motel are quiet and comfortable. There is air conditioning, a work desk and satellite TV in all guest rooms.

The on-site restaurant and bar, 'Ryans', is fully licensed and offers guest the opportunity to enjoy a meal with local, seasonal produce on the menu."
Albany Motel & Apartments,US$128,"8,3",Muy bien,1.028,https://cf.bstatic.com/xdata/images/hotel/max1024x768/339536667.webp?k=b586d033df62509c21cdfc17bdffdb74f5706264b3f7a00d13c3be5acb163834&o=,https://www.booking.com/hotel/au/best-western-albany-motel.es.html?aid=2410095,"Guardaequipaje, Toallas, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Fax / fotocopiadora, Artículos de aseo gratis, Calefacción, Zona de fumadores, Cámaras de seguridad fuera del alojamiento, Servicio de despertador / alarma, Ducha, Reloj despertador, Aire acondicionado, Proporciona factura, Acceso al salón executive, TV de pantalla plana, Pesca, Radio, Centro de negocios, Parking gratis, Tarjeta de acceso, Parking en la calle, Habitaciones sin humo, Inglés, WiFi gratis, Utensilios de planchado, Servicio de limpieza diario, Parking adaptado para personas de movilidad reducida, Información turística, Zona TV / salón de uso compartido, Registro de entrada y salida exprés, Detectores de humo, Armario, Hervidor eléctrico, WC, Nevera, TV, Extintores, Secador de pelo, Tetera / cafetera, Campo de golf (a menos de 3 km), Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Caja fuerte, Suelo de moqueta, Zona de estar",Albany,Australia,"El Albany Motel & Apartments ofrece alojamiento con conexión WiFi gratuita a solo 200 metros de las tiendas y restaurantes de la popular York Street. Hay disponibles habitaciones y apartamentos con vistas al puerto.

El Albany Motel & Apartments se encuentra a solo 300 metros del centro de ocio Albany Entertainment Centre y de la terminal de autobuses de Transwa, y a 20 minutos en coche del parque nacional de Torndirrup. El aeropuerto de Albany está a 15 minutos en coche.

Todas las habitaciones del Albany cuentan con aire acondicionado y calefacción de ciclo inverso. Todas las habitaciones tienen zona de estar, TV de pantalla plana de 32 pulgadas y set de té y café. Las habitaciones se limpian a diario.

Se ofrece aparcamiento gratuito.

Hay varios restaurantes y cafeterías populares a 100 metros del motel. Muchos de ellos ofrecen descuentos para los huéspedes."
ibis Styles Albany,US$129,"6,5",Puntuación,800,https://cf.bstatic.com/xdata/images/hotel/max1024x768/519761094.webp?k=a6ac10ee3a3a85e999cf8ac69b44a10346902c7053f62eda099c96766f204cce&o=,https://www.booking.com/hotel/au/ibis-styles-albany.es.html?aid=2410095,"Guardaequipaje, WC elevado, Tetera/cafetera en todas las habitaciones, Desayuno, Toallas, Habitaciones insonorizadas, Suelo de moqueta, Servicio de conserjería, Plancha para ropa, Baño privado, Lavamanos más bajo, Bañera o ducha, Artículos de aseo gratis, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Calefacción, Ropa de cama, Enchufe cerca de la cama, Ducha, Servicio de lavandería, Patio, Llave de acceso, Aire acondicionado, TV de pantalla plana, Terraza, Adaptado personas de movilidad reducida, Radio, Barbacoa, Parking gratis, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Boles para mascotas, Inglés, Adaptado para sillas de ruedas, WiFi gratis, Balcón, Servicio de limpieza diario, Utensilios de planchado, WC con barras de apoyo, Máquina expendedora (bebidas), Escritorio, Detectores de humo, Acceso a pisos superiores solo mediante escaleras, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Jardín, Teléfono, Habitaciones familiares, Alarma de seguridad, Caja fuerte, Zona de pícnic, Proporciona factura, Mobiliario exterior",Albany,Australia,"El ibis Styles Albany goza de una ubicación ideal en Albany, cerca de los principales lugares de interés turístico.

Las amplias habitaciones y suites familiares han sido reformadas y cuentan con TV LCD de pantalla plana y conexión Wi-Fi.

El restaurante Bar and Grill sirve platos deliciosos y una excelente selección de vinos de la región del Gran Sur.
Abierto de lunes a viernes de 17:30 a 20:00 Últimos pedidos 19:45

El establecimiento se encuentra a 5,50 km de la réplica de Brig Amity, a 3,5 km del centro de Albany y a 7 km del aeropuerto de Albany."
